pluno,time,qty,d,d+1,d+2,d+3,d+4,d+5,d+6
22008022,170,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166
22008029,5,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
22010001,2,1.494,1.49,1.49,1.49,1.49,1.49,1.49,1.49
22010001,4,2.668,2.668,2.668,2.668,2.668,2.668,2.668,2.668
22010032,5,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236
22010032,174,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
22012000,6,2.162,2.16,2.16,2.16,2.16,2.16,2.16,2.16
22012011,3,1.68,1.677,1.677,1.677,1.677,1.677,1.677,1.677
22012011,5,1.706,1.698,1.698,1.698,1.698,1.698,1.698,1.698
22013008,0,2.154,2.15,2.15,2.15,2.15,2.15,2.15,2.15
22013008,1,1.328,1.328,1.328,1.328,1.328,1.328,1.328,1.328
22013008,2,1.126,1.126,1.126,1.126,1.126,1.126,1.126,1.126
22013008,3,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688
22013008,5,10.592,11.0,11.0,11.0,11.0,11.0,11.0,11.0
22013008,6,0.818,0.818,0.818,0.818,0.818,0.818,0.818,0.818
22013022,1,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87
22020001,2,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
22020004,174,2.21,2.216,2.216,2.216,2.216,2.216,2.216,2.216
22020005,5,1.628,1.634,1.634,1.634,1.634,1.634,1.634,1.634
22020006,146,3.446,3.45,3.45,3.45,3.45,3.45,3.45,3.45
22020006,170,3.64,3.454,3.454,3.454,3.454,3.454,3.454,3.454
22020006,173,2.41,2.406,2.406,2.406,2.406,2.406,2.406,2.406
22020010,152,2.029,2.025,2.025,2.025,2.025,2.025,2.025,2.025
22020010,159,5.092,5.084,5.084,5.084,5.084,5.084,5.084,5.084
22021009,155,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
22021260,1,2.264,2.248,2.248,2.248,2.248,2.248,2.248,2.248
22021260,3,2.3,2.306,2.306,2.306,2.306,2.306,2.306,2.306
22021260,151,7.79,7.98,7.98,7.98,7.98,7.98,7.98,7.98
