pluno,time,qty,d,d+1,d+2,d+3,d+4,d+5,d+6
22030010,153,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
22030010,165,1.024,1.028,1.028,1.028,1.028,1.028,1.028,1.028
22030011,147,1.73,1.726,1.726,1.726,1.726,1.726,1.726,1.726
22030011,156,1.448,1.448,1.448,1.448,1.448,1.448,1.448,1.448
22030011,157,0.892,0.89,0.89,0.89,0.89,0.89,0.89,0.89
22030011,159,1.204,1.208,1.208,1.208,1.208,1.208,1.208,1.208
22030011,163,1.602,1.62,1.62,1.62,1.62,1.62,1.62,1.62
22030011,164,1.154,1.154,1.154,1.154,1.154,1.154,1.154,1.154
22030011,165,1.768,1.768,1.768,1.768,1.768,1.768,1.768,1.768
22030011,170,2.174,2.178,2.178,2.178,2.178,2.178,2.178,2.178
22030011,172,1.37,1.368,1.368,1.368,1.368,1.368,1.368,1.368
22030011,173,1.282,1.304,1.304,1.304,1.304,1.304,1.304,1.304
22030011,174,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
22032012,146,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004
22032012,147,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
22032012,154,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
22032012,155,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006
22034001,164,0.408,0.41,0.41,0.41,0.41,0.41,0.41,0.41
22034001,165,1.426,1.418,1.418,1.418,1.418,1.418,1.418,1.418
22034002,161,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934
22034021,159,0.666,0.666,0.666,0.666,0.666,0.666,0.666,0.666
22035000,147,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
22035000,149,2.072,2.105,2.105,2.105,2.105,2.105,2.105,2.105
22035000,151,0.454,0.452,0.452,0.452,0.452,0.452,0.452,0.452
22035000,152,0.634,0.634,0.634,0.634,0.634,0.634,0.634,0.634
22035000,154,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57
22035000,173,1.402,1.378,1.378,1.378,1.378,1.378,1.378,1.378
22035009,166,0.946,0.948,0.948,0.948,0.948,0.948,0.948,0.948
22036000,146,2.328,2.3,2.3,2.3,2.3,2.3,2.3,2.3
22036000,147,2.08,2.088,2.088,2.088,2.088,2.088,2.088,2.088
22036000,149,0.72,0.718,0.718,0.718,0.718,0.718,0.718,0.718
22036000,152,5.08,5.164,5.164,5.164,5.164,5.164,5.164,5.164
22036000,153,3.264,3.432,3.432,3.432,3.432,3.432,3.432,3.432
22036000,154,0.72,0.718,0.718,0.718,0.718,0.718,0.718,0.718
22036000,160,1.894,1.9,1.9,1.9,1.9,1.9,1.9,1.9
22036000,161,0.774,0.78,0.78,0.78,0.78,0.78,0.78,0.78
22036000,162,1.91,1.932,1.932,1.932,1.932,1.932,1.932,1.932
22036000,164,1.522,1.516,1.516,1.516,1.516,1.516,1.516,1.516
22036000,165,2.552,2.506,2.506,2.506,2.506,2.506,2.506,2.506
22036000,166,2.49,2.452,2.452,2.452,2.452,2.452,2.452,2.452
22036000,167,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514
22036000,170,1.458,1.49,1.49,1.49,1.49,1.49,1.49,1.49
22036000,171,1.804,1.776,1.776,1.776,1.776,1.776,1.776,1.776
22036000,173,0.728,0.73,0.73,0.73,0.73,0.73,0.73,0.73
22040157,167,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.722
22040157,171,0.662,0.66,0.66,0.66,0.66,0.66,0.66,0.66
22040158,173,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45
22042082,151,1.176,1.17,1.17,1.17,1.17,1.17,1.17,1.17
22042082,156,0.724,0.722,0.722,0.722,0.722,0.722,0.722,0.722
22042082,173,0.388,0.388,0.388,0.388,0.388,0.388,0.388,0.388
22100000,158,1.138,1.136,1.136,1.136,1.136,1.136,1.136,1.136
22100000,169,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356
22100010,147,0.62,0.616,0.616,0.616,0.616,0.616,0.616,0.616
22100010,149,0.878,0.878,0.878,0.878,0.878,0.878,0.878,0.878
22100010,160,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28
22100010,161,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826
22100010,162,0.626,0.626,0.626,0.626,0.626,0.626,0.626,0.626
22100010,163,0.682,0.68,0.68,0.68,0.68,0.68,0.68,0.68
22100010,164,0.532,0.532,0.532,0.532,0.532,0.532,0.532,0.532
22100010,172,0.552,0.552,0.552,0.552,0.552,0.552,0.552,0.552
22100010,173,0.5,0.502,0.502,0.502,0.502,0.502,0.502,0.502
22100025,153,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
22101000,149,1.246,1.248,1.248,1.248,1.248,1.248,1.248,1.248
