pluno,2016-02-01/2016-02-29,2016-03-01/2016-03-31,2016-04-01/2016-04-30,2016-05-01/2016-05-31,2016-06-01/2016-06-30,2016-07-01/2016-07-31
10,487.0,226.0,369.0,369.0,424.0,398.0
11,222.0,224.0,303.0,347.0,217.0,260.0
14,1185.0979999999997,720.2500000000001,745.8340000000002,741.5140000000001,646.1949999999999,800.7339999999999
15,1184.634,1299.0,1860.0,2072.0,1309.0,1540.0
20,828.5239999999999,791.707,931.387,664.1309999999997,5.859999999999999,5.577
21,25.141,17.437000000000005,553.3319999999999,22.700000000000006,18.772999999999996,14.743
22,995.2709999999983,741.7339999999997,495.1249999999999,984.5789999999982,577.4099999999993,387.51799999999946
23,1750.925999999999,1728.492999999999,2458.685000000005,1852.2399999999989,1188.2839999999992,1123.081
24,67.84000000000002,47.01700000000002,54.48799999999999,58.11799999999997,53.55200000000001,63.078999999999986
25,133.43900000000002,238.99400000000009,227.4159999999997,230.06199999999978,253.02599999999987,284.71499999999975
27,4114.923,9642.187000000005,6115.253,13326.435999999998,9469.887999999999,12265.916000000001
30,327.0,319.0,248.0,267.0,242.0,264.0
31,34.0,11.0,18.0,16.0,12.0,20.0
32,31.0,17.0,24.0,14.0,7.0,19.0
33,11.0,4.0,4.0,7.0,10.0,6.0
34,17.0,17.0,42.0,49.0,28.0,28.0
36,7.0,5.0,5.0,4.0,3.0,8.0
40,8.0,7.0,1.0,6.0,3.0,6.0
