pluno,2016-02-01/2016-02-29,2016-03-01/2016-03-31,2016-04-01/2016-04-30,2016-05-01/2016-05-31,2016-06-01/2016-06-30,2016-07-01/2016-07-31
100,41.0,25.0,48.0,46.0,53.0,40.0
101,269.0,150.0,209.0,158.0,228.0,279.0
102,56.0,28.0,42.0,31.0,29.0,7.0
103,42.0,6.0,20.0,81.0,49.0,35.0
104,55.0,9.0,12.0,12.0,12.0,37.0
105,23.0,8.0,38.0,23.0,1.0,0.0
106,1.0,0.0,0.0,0.0,0.0,0.0
107,0.0,0.0,0.0,18.0,52.0,0.0
110,36.0,51.0,76.0,30.0,29.0,34.0
111,27.0,22.0,61.0,165.0,54.0,31.0
112,46.0,32.0,29.0,20.0,32.0,44.0
113,43.0,44.0,46.0,55.0,36.0,54.0
114,3.0,3.0,3.0,2.0,1.0,0.0
115,67.0,72.0,88.0,75.0,65.0,97.0
140,206.0,172.0,253.0,176.0,235.0,239.0
141,78.0,58.0,83.0,81.0,41.0,52.0
142,52.0,57.0,79.0,64.0,72.0,92.0
143,17.0,14.0,7.0,11.0,10.0,27.0
144,7.098,3.25,2.834,6.513999999999999,6.194999999999999,5.733999999999999
145,42.0,61.0,51.0,57.0,34.0,54.0
146,38.0,15.0,26.0,12.0,13.0,11.0
147,118.0,86.0,66.0,76.0,62.0,92.0
148,559.0,193.0,143.0,196.0,125.0,168.0
149,68.0,61.0,35.0,62.0,48.0,60.0
150,55.0,47.0,76.0,67.0,56.0,68.0
151,555.0,725.0,1275.0,1504.0,702.0,937.0
152,455.0,460.0,455.0,441.0,469.0,464.0
153,13.634,11.0,7.0,6.0,10.0,9.0
154,72.0,24.0,22.0,31.0,46.0,18.0
155,16.0,24.0,14.0,18.0,20.0,36.0
156,18.0,8.0,11.0,5.0,6.0,8.0
200,812.0,784.0,918.0,658.0,1.4739999999999998,0.842
201,14.116000000000001,6.517,12.539,6.131,4.386,4.734999999999999
202,2.408,1.19,0.8480000000000001,0.0,0.0,0.0
210,7.966000000000001,3.5749999999999997,546.64,17.538,12.310999999999998,10.596
211,0.304,0.8680000000000001,2.064,0.68,0.10400000000000001,0.436
212,9.155999999999999,7.7,2.29,2.012,0.7559999999999999,1.192
214,2.472,3.148,0.894,0.392,0.292,0.27
217,0.5740000000000001,0.0,0.0,0.818,0.278,0.244
218,4.6690000000000005,2.146,1.444,1.26,5.032,2.005
220,282.29200000000014,219.18400000000003,219.92300000000012,295.364,274.62199999999996,163.26300000000003
221,225.93900000000022,428.1169999999996,187.75600000000006,159.05600000000013,193.50099999999995,111.99200000000005
225,391.31600000000003,46.78499999999999,15.677999999999999,420.64699999999993,28.656,10.264999999999999
226,55.92000000000001,28.500000000000004,54.446,89.91900000000001,74.224,81.03600000000002
227,37.46000000000001,13.514,10.856,5.215000000000002,3.692,8.676
228,2.228,5.343999999999999,6.2860000000000005,13.994,2.6470000000000002,11.962
229,0.11599999999999999,0.29,0.18,0.384,0.068,0.32399999999999995
231,1750.925999999999,1728.492999999999,2458.685000000005,1852.2399999999989,1188.2839999999992,1123.081
240,48.396000000000015,33.530000000000015,34.772000000000006,36.498000000000005,37.446,47.281
241,18.471999999999994,12.449,17.144,19.337999999999997,14.845999999999997,15.373999999999999
242,0.0,0.38799999999999996,0.596,0.278,0.32799999999999996,0.0
244,0.972,0.65,1.9760000000000002,2.004,0.932,0.42399999999999993
250,6.632000000000001,5.26,0.996,2.136,1.228,1.9140000000000001
251,126.80699999999996,233.7340000000001,225.91599999999968,227.92599999999976,250.67599999999985,281.2109999999998
254,0.0,0.0,0.504,0.0,1.1219999999999999,1.59
270,1409.9180000000001,8289.469000000001,3820.097999999999,6595.7029999999995,8694.190999999999,10397.26
271,4.7780000000000005,4.176000000000001,5.744,5.646000000000001,5.738000000000001,7.240000000000002
272,1988.935,1047.099,2043.4769999999994,4745.777000000002,545.6249999999999,1061.4209999999996
273,48.628000000000014,61.346,53.78199999999999,108.786,93.61400000000003,106.95499999999996
274,662.6640000000001,240.09699999999998,192.152,1870.5240000000035,130.72,693.0400000000002
300,12.0,37.0,5.0,11.0,10.0,11.0
301,36.0,13.0,4.0,10.0,18.0,6.0
302,3.0,1.0,4.0,2.0,0.0,0.0
303,229.0,214.0,209.0,210.0,179.0,218.0
304,7.0,8.0,5.0,4.0,7.0,5.0
305,26.0,9.0,12.0,15.0,11.0,10.0
306,1.0,8.0,2.0,3.0,6.0,3.0
307,7.0,18.0,4.0,4.0,5.0,3.0
308,6.0,10.0,3.0,7.0,5.0,8.0
309,0.0,1.0,0.0,1.0,1.0,0.0
310,11.0,10.0,17.0,12.0,12.0,19.0
311,2.0,1.0,1.0,4.0,0.0,1.0
313,1.0,0.0,0.0,0.0,0.0,0.0
314,20.0,0.0,0.0,0.0,0.0,0.0
320,1.0,1.0,2.0,1.0,0.0,4.0
321,6.0,1.0,0.0,0.0,0.0,3.0
322,1.0,1.0,1.0,0.0,0.0,1.0
323,12.0,7.0,5.0,5.0,4.0,3.0
324,8.0,2.0,4.0,5.0,3.0,7.0
