pluno,2016-02-01/2016-02-07,2016-02-08/2016-02-14,2016-02-15/2016-02-21,2016-02-22/2016-02-28,2016-02-29/2016-03-06,2016-03-07/2016-03-13,2016-03-14/2016-03-20,2016-03-21/2016-03-27,2016-03-28/2016-04-03,2016-04-04/2016-04-10,2016-04-11/2016-04-17,2016-04-18/2016-04-24,2016-04-25/2016-05-01,2016-05-02/2016-05-08,2016-05-09/2016-05-15,2016-05-16/2016-05-22,2016-05-23/2016-05-29,2016-05-30/2016-06-05,2016-06-06/2016-06-12,2016-06-13/2016-06-19,2016-06-20/2016-06-26,2016-06-27/2016-07-03,2016-07-04/2016-07-10,2016-07-11/2016-07-17,2016-07-18/2016-07-24,2016-07-25/2016-07-31
10,247.0,87.0,94.0,56.0,42.0,27.0,68.0,66.0,94.0,63.0,86.0,80.0,92.0,76.0,100.0,72.0,92.0,71.0,106.0,75.0,123.0,102.0,77.0,62.0,122.0,93.0
11,67.0,23.0,68.0,50.0,42.0,58.0,55.0,76.0,71.0,70.0,66.0,63.0,55.0,51.0,40.0,23.0,66.0,191.0,47.0,84.0,32.0,50.0,34.0,77.0,44.0,70.0
14,288.434,486.0,206.664,196.0,138.95000000000002,137.0,204.95,187.192,213.04399999999998,170.94799999999998,184.588,116.0,142.122,178.20399999999998,192.67200000000003,152.468,161.45999999999998,153.55599999999998,181.773,130.866,151.0,168.0,157.0,197.048,154.81,188.876
15,428.634,168.0,226.0,325.0,253.0,262.0,300.0,326.0,371.0,284.0,992.0,219.0,261.0,287.0,1050.0,298.0,345.0,282.0,290.0,286.0,341.0,333.0,257.0,338.0,351.0,391.0
20,9.846000000000002,812.0,2.52,2.894,250.48999999999998,538.554,0.5660000000000001,3.361,8.095999999999998,2.2119999999999997,539.157,381.15799999999996,1.068,437.43899999999996,2.407,222.65299999999996,1.328,2.6099999999999994,0.678,1.5359999999999998,0.948,1.22,0.598,3.801,0.0,0.046
21,5.245000000000001,2.3120000000000003,7.446,8.892,9.67,4.680000000000001,1.5090000000000003,2.228,5.2139999999999995,1.9340000000000002,530.3019999999999,5.856,14.306,6.806,4.058,3.478,3.86,2.963,0.616,8.366,1.504,9.615,1.06,5.312,2.17,2.724
22,442.1719999999998,226.61900000000009,183.89900000000006,128.65499999999997,109.03100000000005,91.30100000000002,97.80999999999993,387.08399999999983,129.843,94.50000000000003,105.25200000000004,103.92400000000005,152.45900000000006,123.116,128.57799999999997,568.23,115.93900000000001,116.65800000000007,116.01000000000005,207.60399999999987,103.55500000000004,134.943,63.955000000000005,79.366,84.32799999999996,86.80600000000005
23,535.0939999999997,324.3599999999999,548.1279999999999,312.0899999999996,611.63,254.27300000000002,326.8189999999998,505.5679999999998,664.3949999999998,263.847,560.9489999999998,519.9339999999997,654.1659999999998,272.2139999999999,539.5059999999996,446.9309999999998,435.209,304.86299999999983,197.474,186.12000000000006,378.07799999999975,392.51899999999995,237.53400000000002,136.074,268.9219999999998,225.01200000000003
24,27.541999999999994,9.514,15.404,14.878,4.531000000000001,12.378000000000002,10.298,17.425999999999995,14.228000000000002,14.215999999999998,10.31,7.782,14.980000000000004,9.01,17.782,14.184,10.488,15.842000000000002,9.584,9.37,16.622,14.254,8.898,10.117999999999999,18.115000000000002,16.34
25,39.888,22.525,41.989000000000004,24.578999999999997,48.242,43.543,59.142999999999994,60.98999999999999,46.863,52.782999999999994,70.555,57.41100000000001,38.62000000000001,56.76100000000001,46.15699999999999,61.98700000000001,54.29500000000001,53.482000000000006,26.093,83.96100000000001,45.452,64.78700000000002,90.00400000000003,54.67499999999999,65.54,57.327
27,2099.6370000000006,355.334,444.447,1199.798,2155.023,3152.131000000001,2744.7580000000007,1577.538,1479.5329999999997,1277.4859999999999,1834.7989999999995,276.314,1575.4589999999998,890.1049999999992,5175.231,3152.492,3595.3050000000007,1641.96,1736.109,5062.858,57.77300000000001,2585.1940000000004,3657.4750000000013,2859.091000000001,1553.118,2795.635
30,129.0,44.0,66.0,81.0,85.0,41.0,95.0,86.0,60.0,56.0,52.0,48.0,66.0,65.0,59.0,62.0,57.0,67.0,56.0,55.0,52.0,60.0,57.0,53.0,47.0,68.0
31,23.0,0.0,5.0,6.0,1.0,1.0,1.0,5.0,5.0,5.0,2.0,6.0,4.0,0.0,5.0,6.0,4.0,1.0,1.0,6.0,1.0,5.0,4.0,5.0,5.0,4.0
32,18.0,5.0,2.0,6.0,5.0,1.0,8.0,2.0,3.0,11.0,4.0,7.0,1.0,5.0,6.0,1.0,1.0,4.0,1.0,1.0,0.0,2.0,4.0,4.0,7.0,3.0
33,0.0,0.0,4.0,3.0,4.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,3.0,2.0,1.0,2.0,0.0,0.0,1.0,4.0,2.0,5.0,0.0,1.0,1.0,2.0
34,11.0,0.0,1.0,1.0,10.0,0.0,2.0,9.0,12.0,3.0,3.0,10.0,18.0,16.0,12.0,6.0,9.0,8.0,7.0,7.0,7.0,4.0,6.0,6.0,10.0,3.0
36,3.0,2.0,2.0,0.0,1.0,4.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,1.0,0.0,3.0
40,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0
