pluno,2016-02-01/2016-02-29,2016-03-01/2016-03-31,2016-04-01/2016-04-30,2016-05-01/2016-05-31,2016-06-01/2016-06-30,2016-07-01/2016-07-31
1000,41.0,25.0,48.0,46.0,53.0,40.0
1010,14.0,0.0,4.0,8.0,10.0,16.0
1011,153.0,40.0,47.0,44.0,33.0,42.0
1012,0.0,0.0,0.0,0.0,1.0,0.0
1013,25.0,24.0,18.0,33.0,53.0,55.0
1014,46.0,58.0,82.0,48.0,57.0,130.0
1015,31.0,28.0,58.0,25.0,74.0,36.0
1020,56.0,28.0,42.0,31.0,29.0,7.0
1030,42.0,5.0,14.0,79.0,13.0,20.0
1031,0.0,1.0,6.0,2.0,36.0,15.0
1040,16.0,0.0,3.0,3.0,6.0,22.0
1041,1.0,2.0,0.0,0.0,0.0,0.0
1042,15.0,2.0,2.0,0.0,0.0,4.0
1043,12.0,3.0,5.0,2.0,6.0,4.0
1044,8.0,2.0,1.0,6.0,0.0,1.0
1045,3.0,0.0,1.0,1.0,0.0,6.0
1050,23.0,8.0,38.0,23.0,1.0,0.0
1060,1.0,0.0,0.0,0.0,0.0,0.0
1070,0.0,0.0,0.0,18.0,52.0,0.0
1100,8.0,3.0,2.0,2.0,0.0,4.0
1101,7.0,8.0,2.0,6.0,3.0,1.0
1102,11.0,5.0,5.0,3.0,2.0,4.0
1103,0.0,1.0,2.0,1.0,0.0,1.0
1104,0.0,0.0,2.0,5.0,12.0,10.0
1105,10.0,34.0,63.0,13.0,12.0,14.0
1110,3.0,2.0,5.0,7.0,8.0,9.0
1111,20.0,18.0,52.0,157.0,44.0,15.0
1112,0.0,1.0,2.0,0.0,2.0,0.0
1114,4.0,1.0,2.0,1.0,0.0,7.0
1120,3.0,6.0,1.0,2.0,3.0,8.0
1121,0.0,2.0,0.0,1.0,0.0,3.0
1122,25.0,9.0,8.0,6.0,16.0,10.0
1123,14.0,10.0,16.0,7.0,8.0,11.0
1124,4.0,5.0,4.0,4.0,0.0,5.0
1125,0.0,0.0,0.0,0.0,5.0,7.0
1130,41.0,44.0,46.0,53.0,35.0,52.0
1131,2.0,0.0,0.0,2.0,1.0,2.0
1140,2.0,3.0,3.0,2.0,1.0,0.0
1141,1.0,0.0,0.0,0.0,0.0,0.0
1150,35.0,41.0,37.0,32.0,33.0,47.0
1151,5.0,1.0,2.0,5.0,4.0,2.0
1152,10.0,3.0,10.0,4.0,6.0,6.0
1153,15.0,27.0,39.0,32.0,22.0,40.0
1154,2.0,0.0,0.0,2.0,0.0,2.0
1400,4.0,7.0,12.0,9.0,12.0,15.0
1401,18.0,33.0,28.0,12.0,19.0,20.0
1402,9.0,8.0,9.0,8.0,11.0,6.0
1403,18.0,6.0,8.0,7.0,23.0,14.0
1404,6.0,1.0,7.0,4.0,3.0,10.0
1405,18.0,18.0,41.0,12.0,22.0,19.0
1406,13.0,11.0,5.0,3.0,6.0,11.0
1407,17.0,21.0,37.0,28.0,25.0,36.0
1408,43.0,16.0,32.0,19.0,25.0,31.0
1409,60.0,51.0,74.0,74.0,89.0,77.0
1410,25.0,11.0,13.0,15.0,8.0,15.0
1411,11.0,7.0,7.0,10.0,7.0,5.0
1412,6.0,8.0,9.0,16.0,12.0,12.0
1413,21.0,24.0,37.0,30.0,12.0,14.0
1414,15.0,8.0,17.0,10.0,2.0,6.0
1420,21.0,12.0,36.0,17.0,14.0,24.0
1421,0.0,1.0,2.0,1.0,0.0,0.0
1422,5.0,6.0,8.0,2.0,8.0,9.0
1423,1.0,3.0,6.0,3.0,4.0,2.0
1424,3.0,4.0,12.0,9.0,10.0,11.0
1425,7.0,8.0,3.0,15.0,16.0,10.0
1426,2.0,7.0,4.0,5.0,2.0,5.0
1427,9.0,12.0,4.0,10.0,6.0,15.0
1428,4.0,4.0,4.0,2.0,12.0,16.0
1430,3.0,7.0,6.0,8.0,7.0,24.0
1431,1.0,5.0,1.0,2.0,3.0,2.0
1434,7.0,2.0,0.0,0.0,0.0,0.0
1435,5.0,0.0,0.0,1.0,0.0,0.0
1436,1.0,0.0,0.0,0.0,0.0,1.0
1440,7.098,3.25,2.834,6.513999999999999,6.194999999999999,5.733999999999999
1450,0.0,1.0,2.0,3.0,2.0,2.0
1451,14.0,17.0,6.0,3.0,4.0,6.0
1452,6.0,3.0,6.0,7.0,8.0,4.0
1453,3.0,4.0,9.0,7.0,3.0,11.0
1454,2.0,3.0,3.0,1.0,1.0,3.0
1455,1.0,7.0,0.0,6.0,0.0,5.0
1456,4.0,2.0,1.0,3.0,5.0,2.0
1457,4.0,7.0,2.0,3.0,2.0,5.0
1458,2.0,6.0,3.0,7.0,1.0,7.0
1459,6.0,11.0,19.0,17.0,8.0,9.0
1460,0.0,0.0,0.0,2.0,0.0,1.0
1461,2.0,1.0,0.0,0.0,0.0,0.0
1462,1.0,0.0,1.0,0.0,0.0,0.0
1463,11.0,3.0,21.0,6.0,6.0,6.0
1464,4.0,0.0,0.0,0.0,1.0,1.0
1465,8.0,5.0,1.0,2.0,6.0,2.0
1466,12.0,6.0,3.0,2.0,0.0,1.0
1470,5.0,7.0,2.0,3.0,3.0,8.0
1471,7.0,4.0,5.0,2.0,5.0,3.0
1472,70.0,46.0,40.0,39.0,28.0,36.0
1473,4.0,0.0,2.0,1.0,2.0,3.0
1474,1.0,0.0,0.0,0.0,1.0,1.0
1475,23.0,22.0,14.0,26.0,16.0,33.0
1476,0.0,1.0,0.0,1.0,1.0,2.0
1477,8.0,6.0,3.0,4.0,6.0,6.0
1480,17.0,27.0,9.0,21.0,22.0,30.0
1481,21.0,15.0,18.0,34.0,17.0,18.0
1482,14.0,14.0,10.0,19.0,4.0,6.0
1483,84.0,32.0,38.0,23.0,28.0,44.0
1484,383.0,34.0,20.0,32.0,17.0,21.0
1485,4.0,7.0,10.0,2.0,3.0,2.0
1486,20.0,44.0,31.0,38.0,23.0,41.0
1487,16.0,20.0,7.0,27.0,11.0,6.0
1490,42.0,37.0,20.0,42.0,34.0,40.0
