pluno,2016-02-01/2016-02-29,2016-03-01/2016-03-31,2016-04-01/2016-04-30,2016-05-01/2016-05-31,2016-06-01/2016-06-30,2016-07-01/2016-07-31
15469,2.0,1.0,2.0,4.0,3.0,3.0
15500,0.0,0.0,0.0,0.0,8.0,0.0
15501,2.0,0.0,0.0,0.0,0.0,2.0
15502,11.0,21.0,10.0,7.0,8.0,23.0
15503,3.0,3.0,4.0,11.0,4.0,11.0
15603,0.0,1.0,0.0,1.0,0.0,0.0
15604,9.0,0.0,0.0,0.0,1.0,0.0
15605,9.0,7.0,11.0,4.0,5.0,8.0
20012,812.0,784.0,918.0,658.0,0.0,0.0
20014,0.0,0.0,0.0,0.0,1.4739999999999998,0.842
20100,0.0,0.0,0.0,0.243,0.344,0.5
20101,2.0,0.0,0.22,1.111,0.0,3.0
20102,0.0,0.0,0.228,0.0,0.0,0.0
20103,1.662,0.968,1.004,0.318,0.704,0.38799999999999996
20110,5.356,4.359999999999999,9.006,2.289,1.896,0.801
20111,0.0,0.0,0.004,0.0,0.0,0.0
20121,2.1,1.178,2.054,2.161,1.318,0.046
20130,2.9979999999999998,0.011,0.023,0.009000000000000001,0.124,0.0
20201,0.0,0.0,0.326,0.0,0.0,0.0
20202,2.408,1.19,0.522,0.0,0.0,0.0
21000,0.762,0.002,527.396,0.812,0.001,0.0
21001,0.0,0.0,0.0,3.4459999999999997,0.0,0.0
21011,4.372,0.001,3.85,2.238,3.366,0.968
21012,0.0,1.1720000000000002,0.19399999999999998,0.392,0.484,1.164
21020,0.7959999999999999,0.0,0.0,0.0,0.0,0.0
21021,2.036,2.4,15.2,10.65,8.459999999999999,8.464
21110,0.304,0.8680000000000001,0.354,0.68,0.0,0.298
21120,0.0,0.0,1.71,0.0,0.10400000000000001,0.138
21200,9.155999999999999,7.7,2.29,2.012,0.7559999999999999,1.192
21400,2.472,3.148,0.894,0.392,0.292,0.27
21700,0.5740000000000001,0.0,0.0,0.818,0.278,0.244
21801,4.6690000000000005,2.146,1.444,1.26,5.032,1.6989999999999998
21812,0.0,0.0,0.0,0.0,0.0,0.306
22000,0.7040000000000001,16.178,12.993000000000004,7.497000000000001,8.873999999999999,6.718
22001,15.473999999999997,31.714000000000002,34.452000000000005,21.182,2.0060000000000002,6.49
22002,0.0,0.636,0.002,6.668,35.518,15.575000000000001
22003,0.0,0.0,0.414,0.0,0.484,2.5540000000000003
22004,0.0,0.0,0.002,1.898,2.003,0.0
22005,0.0,0.0,0.0,3.026,6.3020000000000005,1.4609999999999999
22007,11.254,5.409,12.09,2.8190000000000004,1.715,9.809000000000001
22008,44.62699999999999,41.94600000000001,43.358000000000004,59.627,19.135,9.486
22010,9.750000000000002,10.154,4.9319999999999995,0.0,0.345,1.6039999999999999
22012,28.934000000000005,3.352,0.0,0.0,0.0,0.0
22013,39.083999999999996,19.786000000000005,6.011,0.0,0.522,0.442
22020,15.849999999999996,11.371999999999998,35.42199999999999,60.218,126.82799999999999,17.316000000000003
22021,25.102000000000007,11.350000000000001,14.641999999999998,57.785999999999994,7.069999999999999,7.791
22030,4.632,0.0,0.001,3.782,5.252,38.584999999999994
22032,8.963999999999999,0.0,0.0,0.0,0.006,0.008
22034,11.112,25.703,6.48,22.308,1.8840000000000001,5.568
22035,0.001,0.0,0.0,2.236,27.897000000000006,4.005999999999999
22036,60.85799999999999,38.73400000000001,47.274,43.144,28.080999999999996,30.298
