pluno,2016-02-01/2016-02-07,2016-02-08/2016-02-14,2016-02-15/2016-02-21,2016-02-22/2016-02-28,2016-02-29/2016-03-06,2016-03-07/2016-03-13,2016-03-14/2016-03-20,2016-03-21/2016-03-27,2016-03-28/2016-04-03,2016-04-04/2016-04-10,2016-04-11/2016-04-17,2016-04-18/2016-04-24,2016-04-25/2016-05-01,2016-05-02/2016-05-08,2016-05-09/2016-05-15,2016-05-16/2016-05-22,2016-05-23/2016-05-29,2016-05-30/2016-06-05,2016-06-06/2016-06-12,2016-06-13/2016-06-19,2016-06-20/2016-06-26,2016-06-27/2016-07-03,2016-07-04/2016-07-10,2016-07-11/2016-07-17,2016-07-18/2016-07-24,2016-07-25/2016-07-31
330,0.0,0.0,4.0,3.0,4.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,3.0,2.0,1.0,2.0,0.0,0.0,1.0,4.0,2.0,5.0,0.0,1.0,1.0,2.0
340,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
341,4.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,4.0,3.0,0.0,3.0,0.0,0.0,0.0,4.0,2.0
342,5.0,0.0,1.0,0.0,8.0,0.0,0.0,3.0,0.0,2.0,2.0,10.0,10.0,7.0,9.0,6.0,6.0,3.0,2.0,6.0,2.0,3.0,0.0,3.0,3.0,0.0
343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,2.0,0.0
345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
348,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
349,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360,3.0,2.0,2.0,0.0,1.0,4.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,1.0,0.0,3.0
400,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0
