pluno,2016-02-01/2016-02-29,2016-03-01/2016-03-31,2016-04-01/2016-04-30,2016-05-01/2016-05-31,2016-06-01/2016-06-30,2016-07-01/2016-07-31
10114000,3.0,2.0,2.0,0.0,1.0,0.0
10114004,0.0,0.0,1.0,1.0,1.0,1.0
10114005,0.0,2.0,0.0,0.0,0.0,0.0
10116000,18.0,2.0,0.0,4.0,1.0,1.0
10116003,0.0,0.0,0.0,0.0,0.0,1.0
10116008,0.0,0.0,0.0,1.0,0.0,0.0
10116015,0.0,0.0,2.0,0.0,0.0,0.0
10116016,1.0,0.0,0.0,0.0,0.0,0.0
10116017,1.0,0.0,0.0,0.0,0.0,0.0
10116021,1.0,0.0,0.0,1.0,0.0,0.0
10116022,0.0,2.0,1.0,1.0,0.0,0.0
10116023,0.0,2.0,0.0,0.0,0.0,0.0
10116025,4.0,0.0,1.0,0.0,0.0,0.0
10116026,1.0,0.0,2.0,0.0,0.0,0.0
10116027,1.0,1.0,0.0,0.0,0.0,0.0
10116028,0.0,0.0,1.0,0.0,0.0,0.0
10116030,1.0,0.0,0.0,0.0,0.0,0.0
10116031,3.0,0.0,1.0,0.0,0.0,0.0
10116032,0.0,2.0,2.0,1.0,0.0,3.0
10116034,4.0,0.0,1.0,1.0,0.0,0.0
10116039,0.0,6.0,0.0,3.0,0.0,2.0
10116045,0.0,0.0,0.0,0.0,0.0,1.0
10117000,0.0,0.0,4.0,1.0,3.0,0.0
10119001,0.0,0.0,0.0,1.0,0.0,0.0
10119006,0.0,0.0,0.0,1.0,0.0,0.0
10119008,0.0,0.0,0.0,0.0,1.0,0.0
10119010,1.0,0.0,0.0,0.0,0.0,0.0
10119011,0.0,0.0,0.0,0.0,2.0,0.0
10119012,1.0,2.0,1.0,0.0,0.0,0.0
10119013,1.0,2.0,1.0,0.0,0.0,1.0
10119019,14.0,0.0,2.0,0.0,0.0,0.0
10119020,5.0,0.0,0.0,0.0,1.0,0.0
10119022,1.0,0.0,0.0,0.0,0.0,0.0
10119024,1.0,0.0,1.0,0.0,1.0,0.0
10119026,0.0,0.0,1.0,1.0,0.0,0.0
10119028,1.0,1.0,0.0,0.0,2.0,1.0
10119033,0.0,1.0,2.0,0.0,0.0,0.0
10119038,0.0,0.0,1.0,0.0,0.0,0.0
10119041,0.0,0.0,0.0,1.0,0.0,0.0
10119043,1.0,0.0,0.0,0.0,0.0,0.0
10119044,10.0,1.0,0.0,0.0,0.0,0.0
10119046,0.0,0.0,0.0,2.0,0.0,0.0
10119047,1.0,0.0,0.0,0.0,0.0,0.0
10119049,1.0,0.0,0.0,0.0,0.0,0.0
10119050,0.0,0.0,0.0,0.0,1.0,0.0
10119051,0.0,0.0,2.0,0.0,1.0,0.0
10119052,1.0,0.0,0.0,0.0,0.0,0.0
10119054,1.0,0.0,0.0,0.0,0.0,0.0
10119055,0.0,0.0,1.0,0.0,0.0,0.0
10119060,0.0,0.0,1.0,0.0,0.0,0.0
10119061,0.0,0.0,0.0,0.0,1.0,0.0
10119074,2.0,0.0,2.0,0.0,0.0,1.0
10119075,0.0,0.0,0.0,3.0,1.0,0.0
10119078,0.0,1.0,0.0,1.0,0.0,0.0
10119079,1.0,0.0,1.0,0.0,0.0,0.0
10119081,3.0,1.0,0.0,0.0,0.0,0.0
10119082,1.0,1.0,0.0,1.0,0.0,0.0
10119083,2.0,0.0,0.0,0.0,0.0,0.0
10119085,1.0,0.0,2.0,0.0,0.0,0.0
10119086,0.0,0.0,2.0,0.0,0.0,0.0
10119089,1.0,0.0,0.0,0.0,0.0,0.0
10119090,0.0,0.0,2.0,0.0,0.0,0.0
10119100,24.0,0.0,0.0,0.0,0.0,0.0
10119101,3.0,1.0,1.0,0.0,0.0,0.0
10119102,5.0,3.0,1.0,0.0,0.0,0.0
10119104,0.0,0.0,0.0,0.0,0.0,1.0
10119126,0.0,0.0,1.0,1.0,0.0,0.0
10119134,0.0,0.0,0.0,0.0,0.0,2.0
10119136,0.0,0.0,0.0,0.0,0.0,1.0
10119137,0.0,0.0,0.0,0.0,1.0,1.0
10119138,0.0,0.0,0.0,0.0,0.0,1.0
10119139,0.0,0.0,0.0,0.0,1.0,0.0
10119140,0.0,0.0,0.0,0.0,0.0,1.0
10119146,0.0,0.0,0.0,0.0,0.0,4.0
10119147,0.0,0.0,0.0,0.0,0.0,5.0
10120000,0.0,0.0,0.0,0.0,1.0,0.0
10130001,0.0,0.0,0.0,0.0,2.0,2.0
10130002,1.0,2.0,1.0,3.0,4.0,0.0
10130004,0.0,0.0,0.0,0.0,3.0,2.0
10130006,1.0,0.0,0.0,1.0,1.0,3.0
10130007,0.0,2.0,0.0,0.0,0.0,0.0
10130008,1.0,0.0,0.0,0.0,0.0,0.0
10130009,0.0,0.0,1.0,1.0,3.0,2.0
10130010,0.0,0.0,0.0,1.0,0.0,2.0
10130011,0.0,0.0,0.0,0.0,2.0,2.0
10130012,0.0,0.0,0.0,0.0,0.0,1.0
10131000,0.0,0.0,0.0,0.0,0.0,1.0
10131001,0.0,0.0,0.0,0.0,1.0,1.0
10131002,0.0,0.0,2.0,12.0,3.0,1.0
10131007,1.0,2.0,0.0,2.0,2.0,0.0
10131008,0.0,0.0,0.0,0.0,0.0,1.0
10131017,0.0,0.0,0.0,1.0,4.0,1.0
10131019,0.0,0.0,0.0,0.0,0.0,1.0
10131020,0.0,0.0,0.0,0.0,0.0,9.0
10131021,0.0,0.0,0.0,0.0,0.0,1.0
10132000,0.0,0.0,1.0,2.0,0.0,1.0
10132001,1.0,3.0,2.0,1.0,0.0,2.0
10132002,0.0,0.0,0.0,1.0,6.0,0.0
10132003,0.0,0.0,0.0,2.0,1.0,2.0
10132005,0.0,1.0,0.0,0.0,1.0,0.0
10132017,0.0,0.0,0.0,1.0,4.0,3.0
10132019,0.0,0.0,0.0,0.0,1.0,2.0
10133001,0.0,0.0,1.0,0.0,3.0,4.0
10135000,2.0,0.0,0.0,0.0,0.0,0.0
10135001,2.0,0.0,0.0,0.0,0.0,0.0
10135002,1.0,3.0,1.0,0.0,0.0,0.0
10135008,5.0,0.0,0.0,0.0,0.0,0.0
10135010,0.0,0.0,0.0,1.0,0.0,0.0
10135011,0.0,0.0,0.0,1.0,1.0,0.0
10135012,0.0,0.0,0.0,1.0,0.0,0.0
10135014,0.0,0.0,0.0,2.0,1.0,0.0
10135015,0.0,0.0,0.0,0.0,1.0,1.0
10136000,2.0,0.0,0.0,0.0,1.0,0.0
