pluno,2016-02-01/2016-02-07,2016-02-08/2016-02-14,2016-02-15/2016-02-21,2016-02-22/2016-02-28,2016-02-29/2016-03-06,2016-03-07/2016-03-13,2016-03-14/2016-03-20,2016-03-21/2016-03-27,2016-03-28/2016-04-03,2016-04-04/2016-04-10,2016-04-11/2016-04-17,2016-04-18/2016-04-24,2016-04-25/2016-05-01,2016-05-02/2016-05-08,2016-05-09/2016-05-15,2016-05-16/2016-05-22,2016-05-23/2016-05-29,2016-05-30/2016-06-05,2016-06-06/2016-06-12,2016-06-13/2016-06-19,2016-06-20/2016-06-26,2016-06-27/2016-07-03,2016-07-04/2016-07-10,2016-07-11/2016-07-17,2016-07-18/2016-07-24,2016-07-25/2016-07-31
1000,11.0,12.0,9.0,9.0,5.0,7.0,8.0,4.0,9.0,7.0,21.0,8.0,4.0,16.0,11.0,10.0,7.0,14.0,8.0,19.0,8.0,7.0,5.0,8.0,15.0,11.0
1010,9.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,5.0,1.0,2.0,0.0,1.0,2.0,3.0,3.0,5.0,5.0,1.0,3.0,3.0
1011,90.0,22.0,32.0,8.0,12.0,4.0,13.0,8.0,13.0,10.0,9.0,10.0,12.0,10.0,14.0,8.0,7.0,10.0,4.0,6.0,7.0,12.0,9.0,2.0,14.0,13.0
1012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1013,8.0,2.0,5.0,9.0,5.0,2.0,9.0,6.0,7.0,6.0,4.0,2.0,3.0,6.0,10.0,7.0,6.0,6.0,17.0,9.0,17.0,7.0,4.0,11.0,17.0,23.0
1014,15.0,9.0,11.0,10.0,7.0,10.0,9.0,23.0,30.0,10.0,11.0,28.0,22.0,9.0,9.0,13.0,8.0,12.0,14.0,13.0,17.0,19.0,35.0,23.0,40.0,14.0
1015,10.0,9.0,5.0,7.0,5.0,1.0,8.0,8.0,15.0,7.0,10.0,19.0,18.0,6.0,5.0,3.0,4.0,22.0,21.0,6.0,8.0,20.0,2.0,11.0,16.0,6.0
1020,46.0,0.0,7.0,3.0,3.0,2.0,9.0,13.0,4.0,19.0,20.0,0.0,2.0,5.0,14.0,6.0,4.0,2.0,23.0,0.0,4.0,0.0,2.0,1.0,3.0,1.0
1030,0.0,25.0,15.0,2.0,0.0,0.0,5.0,0.0,2.0,0.0,6.0,0.0,6.0,13.0,3.0,11.0,52.0,1.0,0.0,0.0,0.0,18.0,5.0,5.0,4.0,0.0
1031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,13.0,5.0,16.0,12.0,5.0,0.0,0.0,0.0
1040,10.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,2.0,1.0,1.0,0.0,8.0,13.0
1041,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1042,11.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
1043,6.0,1.0,5.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0
1044,6.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1045,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
1050,20.0,0.0,2.0,1.0,4.0,1.0,1.0,2.0,11.0,4.0,2.0,1.0,20.0,1.0,10.0,10.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1060,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,12.0,40.0,0.0,0.0,0.0,0.0,0.0
