pluno,4avg2,4max2,4min2,4avg3,4max3,4min3,4avg4,4max4,4min4,3avg2,3max2,3min2,3avg3,3max3,3min3,3avg4,3max4,3min4,2avg2,2max2,2min2,2avg3,2max3,2min3,2avg4,2max4,2min4,1avg2,1max2,1min2,1avg3,1max3,1min3,1avg4,1max4,1min4
22000014,136.57142857142858,956.0,0.0,500.57142857142856,2368.0,0.0,285.42857142857144,1308.0,0.0,2038.142857142857,4564.0,397.0,1991.857142857143,5274.0,0.0,2739.1428571428573,4994.0,0.0,19693.0,49054.0,1716.0,4877.0,11891.0,642.0,7096.142857142857,20700.0,2184.0,29521.285714285714,62310.0,6014.0,14047.285714285714,25000.0,4954.0,18534.571428571428,30290.0,8794.0
22000014,0.0,0.0,0.0,452.57142857142856,1338,0.0,83.71428571428571,586.0,0.0,2360.5714285714284,5416.0,0.0,3554.714285714286,7318.0,1012.0,3259.285714285714,5777.0,0.0,4308.428571428572,10116.0,7.0,7284.142857142857,17278.0,1212.0,6332.714285714285,10566.0,746.0,9006.142857142857,19602.0,3887.0,18545.14285714286,32156.0,6340.0,14932.142857142857,26044.0,4344.0
22000029,0.0,0.0,0.0,289.2857142857143,2025.0,0.0,0.0,0.0,0.0,2270.8571428571427,7366.0,0.0,3332.5714285714284,4685.0,2754.0,2828.1428571428573,6406.0,834.0,5746.857142857143,13417.0,1879.0,8392.714285714286,15165.0,4515.0,8696.285714285714,13748.0,5844.0,13098.857142857143,23959.0,4611.0,14810.857142857143,29563.0,8733.0,17098.285714285714,23081.0,12662.0
22000029,1246.857142857143,3350.0,0.0,774.8571428571429,2340.0,0.0,0.0,0.0,0.0,4365.285714285715,8026.0,1002.0,3660.714285714286,11278.0,5.0,2234.1428571428573,7366.0,0.0,8618.57142857143,13800.0,2068.0,6579.571428571428,12366.0,2544.0,6292.571428571428,13417.0,1879.0,16559.14285714286,28040.0,7248.0,53350.0,283160.0,5854.0,12840.0,23959.0,4611.0
22000029,1166.0,3350.0,0.0,855.7142857142857,2340.0,0.0,0.0,0.0,0.0,4314.0,8026.0,1002.0,3533.8571428571427,11278.0,5.0,2270.8571428571427,7366.0,0.0,8613.857142857143,13800.0,2068.0,6474.714285714285,12366.0,2544.0,5746.857142857143,13417.0,1879.0,18336.285714285714,31066.0,7248.0,53365.42857142857,283160.0,5854.0,13098.857142857143,23959.0,4611.0
22000029,295.85714285714283,1048.0,0.0,153.71428571428572,696.0,0.0,1481.7142857142858,3350.0,0.0,2580.4285714285716,6002.0,0.0,2483.714285714286,5048.0,0.0,4544.0,8026.0,1002.0,6521.571428571428,10950.0,970.0,6410.0,11175.0,2447.0,7937.857142857143,13800.0,2068.0,12148.142857142857,17696.0,4395.0,19048.14285714286,31066.0,9616.0,55386.142857142855,283160.0,7248.0
22000029,232.28571428571428,1626.0,0.0,857.1428571428571,2264.0,0.0,72.85714285714286,510.0,0.0,2972.5714285714284,6304.0,1104.0,5023.571428571428,9710.0,0.0,2235.8571428571427,3530.0,0.0,9212.285714285714,16623.0,2130.0,7700.285714285715,15861.0,2944.0,5646.857142857143,7742.0,1462.0,21779.714285714286,35814.0,7302.0,14846.285714285714,26899.0,7961.0,15036.0,30928.0,2784.0
22000031,98.57142857142857,690.0,0.0,168.0,1176.0,0.0,243.14285714285714,1702.0,0.0,3530.8571428571427,6762.0,0.0,2152.1428571428573,5572.0,1.0,2434.5714285714284,3968.0,0.0,6431.571428571428,13652.0,0.0,6619.714285714285,20191.0,1712.0,11930.57142857143,15605.0,4752.0,18156.85714285714,27947.0,3552.0,74585.28571428571,422904.0,5668.0,24461.85714285714,37252.0,5662.0
22000031,500.57142857142856,2368.0,0.0,186.85714285714286,1308.0,0.0,98.57142857142857,690.0,0.0,2027.7142857142858,5274.0,0.0,2269.0,4994.0,0.0,3555.1428571428573,6762.0,0.0,5757.714285714285,18494.0,642.0,7600.0,20700.0,2184.0,6364.142857142857,13652.0,0.0,14039.57142857143,36998.0,4954.0,19306.0,30290.0,8794.0,17710.285714285714,27947.0,3552.0
22000031,220.28571428571428,956.0,0.0,162.28571428571428,1136.0,0.0,525.1428571428571,2368.0,0.0,2719.5714285714284,5777.0,0.0,1216.4285714285713,3806.0,0.0,2595.285714285714,5274.0,0.0,6832.142857142857,14101.0,746.0,16923.14285714286,49054.0,642.0,8666.57142857143,20700.0,2754.0,16161.714285714286,26044.0,4344.0,27034.571428571428,62310.0,4954.0,20160.714285714286,30290.0,8191.0
