pluno,avg2,max2,min2,avg3,max3,min3,avg4,max4,min4
22001001,1046.0,5084.0,0.0,406.0,1634.0,0.0,457.7142857142857,2370.0,0.0
22001001,1235.142857142857,5084.0,0.0,406.0,1634.0,0.0,457.7142857142857,2370.0,0.0
22001001,2051.4285714285716,5714.0,0.0,233.42857142857142,1634.0,0.0,630.2857142857143,2370.0,0.0
22001001,1370.2857142857142,5714.0,0.0,866.5714285714286,5084.0,0.0,525.1428571428571,1634.0,0.0
22001001,1772.2857142857142,5714.0,0.0,1046.0,5084.0,0.0,406.0,1634.0,0.0
22001001,1018.0,5218.0,0.0,1055.142857142857,4070.0,0.0,2051.4285714285716,5714.0,0.0
22001001,314.57142857142856,2202,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22001001,53.714285714285715,376.0,0.0,329.7142857142857,1230.0,0.0,427.14285714285717,2202,0.0
22001003,712.2857142857143,3018.0,0.0,120.0,840.0,0.0,666.8571428571429,3488.0,0.0
22001006,1018.0,5218.0,0.0,1055.142857142857,4070.0,0.0,2051.4285714285716,5714.0,0.0
22001006,393.14285714285717,960.0,0.0,1743.7142857142858,5218.0,0.0,2108.285714285714,5714.0,0.0
22001006,607.7142857142857,1502.0,0.0,1615.142857142857,5218.0,0.0,1510.5714285714287,5714.0,0.0
22001006,335.14285714285717,1502.0,0.0,1018.0,5218.0,0.0,1055.142857142857,4070.0,0.0
22001006,750.5714285714286,2356.0,0.0,393.14285714285717,960.0,0.0,1743.7142857142858,5218.0,0.0
22001006,705.1428571428571,2356.0,0.0,607.7142857142857,1502.0,0.0,1615.142857142857,5218.0,0.0
22001006,1140.5714285714287,2356.0,0.0,335.14285714285717,1502.0,0.0,1118.5714285714287,5218.0,0.0
22001006,1140.5714285714287,2356.0,0.0,335.14285714285717,1502.0,0.0,1018.0,5218.0,0.0
22001006,1445.4285714285713,3530.0,0.0,534.5714285714286,1502.0,0.0,1018.0,5218.0,0.0
22001006,1153.4285714285713,3530.0,0.0,705.1428571428571,2356.0,0.0,607.7142857142857,1502.0,0.0
22001006,1127.7142857142858,3530.0,0.0,931.7142857142857,2356.0,0.0,607.7142857142857,1502.0,0.0
22001006,1096.2857142857142,3530.0,0.0,1140.5714285714287,2356.0,0.0,470.57142857142856,1502.0,0.0
22001006,1166.5714285714287,3202.0,0.0,1445.4285714285713,3530.0,0.0,534.5714285714286,1502.0,0.0
22001006,1708.2857142857142,3202.0,0.0,1127.7142857142858,3530.0,0.0,931.7142857142857,2356.0,0.0
22001006,1579.4285714285713,3072.0,0.0,1553.7142857142858,3530.0,0.0,1140.5714285714287,2356.0,0.0
22001006,1462.2857142857142,3072.0,0.0,1166.5714285714287,3202.0,0.0,1445.4285714285713,3530.0,0.0
22001006,1336.2857142857142,2532.0,0.0,1605.4285714285713,3202.0,0.0,1108.857142857143,3530.0,0.0
22001006,1095.4285714285713,3454.0,0.0,1747.7142857142858,3202.0,0.0,1096.2857142857142,3530.0,0.0
22001006,806.2857142857143,3454.0,0.0,2036.857142857143,3202.0,820.0,1096.2857142857142,3530.0,0.0
22001006,688.8571428571429,1862.0,0.0,1568.0,5326.0,0.0,1336.2857142857142,2532.0,0.0
22001006,297.42857142857144,1342.0,0.0,1959.4285714285713,5326.0,0.0,818.8571428571429,2190.0,0.0
22001006,297.42857142857144,1342.0,0.0,1466.0,5326.0,0.0,1095.4285714285713,3454.0,0.0
