pluno, d-1,d-2,d-3,d-4,d-5,d-6,d-7
22001008,1324.0,1256.0,982.0,5084.0,0.0,0.0,0.0
22001008,0.0,900.0,398.0,0.0,5714.0,1324.0,1256.0
22001008,0.0,704.0,1314.0,4070.0,0.0,900.0,398.0
22001008,844.0,0.0,0.0,948.0,960.0,0.0,0.0
22001008,3072.0,820.0,3202.0,0.0,1242.0,1406.0,1496.0
22001012,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22001038,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22001038,1180.0,0.0,0.0,0.0,0.0,0.0,0.0
22001038,0.0,0.0,0.0,0.0,0.0,3488.0,1180.0
22001038,0.0,840.0,0.0,0.0,0.0,0.0,0.0
22001038,0.0,1284.0,0.0,840.0,0.0,0.0,0.0
22001038,2370.0,0.0,0.0,0.0,0.0,0.0,0.0
22001038,0.0,834.0,2370.0,0.0,0.0,0.0,0.0
22001038,0.0,0.0,1208.0,0.0,834.0,2370.0,0.0
22001038,0.0,5714.0,1324.0,1256.0,982.0,5084.0,0.0
22001038,398.0,0.0,5714.0,1324.0,1256.0,982.0,5084.0
22001038,0.0,704.0,1314.0,4070.0,0.0,900.0,398.0
22001038,0.0,0.0,948.0,960.0,0.0,0.0,5218.0
22001038,1396.0,0.0,0.0,0.0,0.0,1502.0,844.0
22001038,1586.0,1184.0,2356.0,1396.0,0.0,0.0,0.0
22001038,1406.0,1496.0,0.0,3530.0,0.0,0.0,1462.0
22001038,1862.0,5326.0,2196.0,0.0,0.0,3454.0,0.0
22001038,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22001038,826.0,822.0,0.0,1494.0,0.0,0.0,0.0
22001038,0.0,852.0,0.0,0.0,0.0,0.0,1390.0
22001038,774.0,0.0,852.0,0.0,0.0,0.0,0.0
22001038,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22001038,0.0,2202,0.0,0.0,0.0,0.0,0.0
22002002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22002006,396.0,1036.0,3350.0,792.0,0.0,0.0,0.0
22002008,0.0,0.0,0.0,0.0,0.0,1494.0,1924.0
22002239,0.0,0.0,0.0,1398.0,0.0,0.0,0.0
22002239,0.0,0.0,0.0,0.0,0.0,868.0,0.0
22002239,884.0,0.0,0.0,0.0,0.0,0.0,868.0
22002239,0.0,0.0,0.0,1304.0,972.0,0.0,2810.0
22002239,792.0,0.0,0.0,0.0,1304.0,972.0,0.0
22002239,0.0,0.0,0.0,1800.0,396.0,1036.0,3350.0
22002239,5000.0,0.0,0.0,0.0,1800.0,396.0,1036.0
22002239,3682.0,0.0,3438.0,5000.0,0.0,0.0,0.0
22002239,0.0,1716.0,3682.0,0.0,3438.0,5000.0,0.0
22002239,4216.0,0.0,1716.0,3682.0,0.0,3438.0,5000.0
22002239,3254.0,4216.0,0.0,1716.0,3682.0,0.0,3438.0
22002239,998.0,0.0,1786.0,3254.0,4216.0,0.0,1716.0
22002239,0.0,900.0,998.0,0.0,1786.0,3254.0,4216.0
22002239,1294.0,0.0,900.0,998.0,0.0,1786.0,3254.0
22002239,0.0,2698.0,1294.0,0.0,900.0,998.0,0.0
22002239,1924.0,0.0,2698.0,1294.0,0.0,900.0,998.0
22002239,0.0,0.0,0.0,0.0,0.0,1494.0,1924.0
22002239,0.0,0.0,0.0,2338.0,0.0,0.0,0.0
22002240,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22002240,0.0,0.0,0.0,0.0,0.0,1.0,0.0
22002240,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22002240,854.0,0.0,0.0,0.0,0.0,0.0,0.0
22002240,0.0,1120.0,854.0,0.0,0.0,0.0,0.0
22002240,0.0,0.0,0.0,0.0,0.0,978.0,0.0
22002240,0.0,0.0,0.0,2318.0,0.0,0.0,0.0
22002240,884.0,0.0,0.0,0.0,0.0,0.0,868.0
22002240,0.0,2810.0,884.0,0.0,0.0,0.0,0.0
22002240,972.0,0.0,2810.0,884.0,0.0,0.0,0.0
22002240,792.0,0.0,0.0,0.0,1304.0,972.0,0.0
22002240,3350.0,792.0,0.0,0.0,0.0,1304.0,972.0
22002240,1036.0,3350.0,792.0,0.0,0.0,0.0,1304.0
22002240,396.0,1036.0,3350.0,792.0,0.0,0.0,0.0
22002240,0.0,0.0,0.0,1800.0,396.0,1036.0,3350.0
22002240,5000.0,0.0,0.0,0.0,1800.0,396.0,1036.0
22002240,0.0,3438.0,5000.0,0.0,0.0,0.0,1800.0
22002240,0.0,1716.0,3682.0,0.0,3438.0,5000.0,0.0
22002240,4216.0,0.0,1716.0,3682.0,0.0,3438.0,5000.0
22002240,3254.0,4216.0,0.0,1716.0,3682.0,0.0,3438.0
22002240,1294.0,0.0,900.0,998.0,0.0,1786.0,3254.0
22002240,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22002240,422,0.0,0.0,0.0,0.0,0.0,0.0
22002242,4216.0,0.0,1716.0,3682.0,0.0,3438.0,5000.0
22002242,0.0,1786.0,3254.0,4216.0,0.0,1716.0,3682.0
22003000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22003002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22003002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22003002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22003002,792.0,0.0,0.0,0.0,0.0,0.0,0.0
22004008,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22004008,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22004008,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22004008,0.0,0.0,0.0,0.0,0.0,0.0,728.0
22004008,0.0,0.0,0.0,414.0,0.0,0.0,0.0
22004008,0.0,0.0,416.0,0.0,0.0,0.0,414.0
22004008,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22004008,616,0.0,0.0,0.0,0.0,0.0,0.0
22004008,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22004008,0.0,0.0,0.0,0.0,1.0,0.0,0.0
22004008,0.0,748.0,0.0,0.0,0.0,0.0,1.0
22005000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22005000,694.0,0.0,0.0,0.0,0.0,0.0,0.0
22005000,0.0,0.0,0.0,760.0,694.0,0.0,0.0
22005000,0.0,0.0,0.0,0.0,0.0,0.0,1572.0
22005000,0.0,0.0,916,0.0,0.0,0.0,0.0
22005000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22005000,0.0,0.0,0.0,486.0,0.0,0.0,0.0
22005000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22005001,0.0,0.0,0.0,1502.0,0.0,0.0,916
22005006,0.0,0.0,1048.0,0.0,0.0,0.0,486.0
22005006,0.0,0.0,0.0,0.0,0.0,1258.0,0.0
22005006,618.0,0.0,0.0,0.0,0.0,0.0,1258.0
22005006,0.0,0.0,0.0,0.0,0.0,1022.0,618.0
22007004,0.0,0.0,636.0,0.0,1018.0,322.0,520.0
22007005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22007005,1046.0,0.0,0.0,0.0,0.0,0.0,0.0
22007005,434.0,1046.0,0.0,0.0,0.0,0.0,0.0
22007005,1112.0,434.0,1046.0,0.0,0.0,0.0,0.0
22007005,3464.0,1112.0,434.0,1046.0,0.0,0.0,0.0
22007005,668.0,0.0,0.0,0.0,0.0,0.0,1216.0
22007005,322.0,520.0,0.0,0.0,0.0,0.0,0.0
22007005,0.0,1018.0,322.0,520.0,0.0,0.0,0.0
22007005,0.0,0.0,358.0,0.0,0.0,0.0,0.0
22007005,0.0,0.0,0.0,270.0,0.0,516.0,0.0
22007005,0.0,0.0,234.0,238.0,0.0,726.0,0.0
22007005,0.0,0.0,0.0,322.0,0.0,624.0,0.0
22007005,0.0,1270.0,0.0,0.0,1076.0,0.0,0.0
22007005,0.0,1.0,0.0,1270.0,0.0,0.0,1076.0
22007005,1.0,0.0,0.0,0.0,0.0,0.0,0.0
22007005,0.0,0.0,0.0,0.0,0.0,0.0,548.0
22007005,0.0,0.0,0.0,1120.0,0.0,0.0,0.0
22007005,0.0,0.0,0.0,0.0,0.0,790.0,0.0
22007005,0.0,0.0,0.0,495.0,0.0,978.0,0.0
22007008,0.0,2000.0,724.0,0.0,0.0,0.0,495.0
22007011,0.0,0.0,684.0,0.0,0.0,636.0,0.0
22007011,0.0,0.0,622.0,0.0,0.0,358.0,0.0
22007011,0.0,516.0,0.0,0.0,5.0,0.0,0.0
22007011,0.0,726.0,0.0,0.0,0.0,270.0,0.0
22007011,238.0,0.0,726.0,0.0,0.0,0.0,270.0
22007011,0.0,0.0,1820.0,3.0,0.0,0.0,234.0
22007011,0.0,514,0.0,0.0,1226.0,0.0,0.0
22007011,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22007019,0.0,0.0,0.0,0.0,1400.0,356.0,0.0
22007022,0.0,0.0,0.0,716.0,0.0,0.0,0.0
22007022,0.0,0.0,0.0,0.0,0.0,0.0,495.0
22007026,0.0,0.0,5.0,0.0,0.0,622.0,0.0
22007026,3.0,0.0,0.0,234.0,238.0,0.0,726.0
22007026,0.0,624.0,0.0,662.0,0.0,0.0,1820.0
22007026,0.0,0.0,0.0,322.0,0.0,624.0,0.0
22007026,0.0,0.0,1076.0,0.0,0.0,0.0,322.0
22007026,0.0,0.0,662.0,0.0,1.0,0.0,1270.0
22007026,0.0,0.0,1226.0,0.0,0.0,662.0,0.0
22007027,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22007027,434.0,1046.0,0.0,0.0,0.0,0.0,0.0
22007027,1112.0,434.0,1046.0,0.0,0.0,0.0,0.0
22007027,0.0,0.0,0.0,0.0,0.0,1216.0,3464.0
22007027,0.0,0.0,0.0,0.0,0.0,0.0,500.0
22007027,520.0,0.0,0.0,0.0,0.0,0.0,0.0
22007027,322.0,520.0,0.0,0.0,0.0,0.0,0.0
22007027,0.0,662.0,0.0,0.0,1820.0,3.0,0.0
22007031,0.0,0.0,318.0,668.0,0.0,0.0,0.0
22007031,356.0,0.0,0.0,684.0,0.0,0.0,636.0
22007031,0.0,514,0.0,0.0,1226.0,0.0,0.0
22007031,2160.0,0.0,514,0.0,0.0,1226.0,0.0
22007031,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22007031,0.0,0.0,0.0,0.0,0.0,0.0,430.0
22007031,0.0,978.0,0.0,0.0,0.0,0.0,0.0
22007031,724.0,0.0,0.0,0.0,495.0,0.0,978.0
22007031,0.0,2000.0,724.0,0.0,0.0,0.0,495.0
22007031,3532.0,0.0,2000.0,724.0,0.0,0.0,0.0
22007031,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22007031,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22008000,1002.0,2340.0,0.0,8.0,982.0,920.0,0.0
22008001,1410.0,754.0,378.0,738.0,0.0,504.0,3330.0
22008001,5886.0,0.0,0.0,0.0,592.0,3022.0,1078.0
22008001,0.0,854.0,2544.0,2697.0,1258.0,5886.0,0.0
22008001,1260.0,976.0,3152.0,2754.0,2342.0,858.0,0.0
22008001,2120.0,1260.0,976.0,3152.0,2754.0,2342.0,858.0
22008001,2282.0,0.0,0.0,702.0,2781.0,2120.0,1260.0
22008001,982.0,920.0,0.0,0.0,3650.0,1714.0,0.0
22008001,2430.0,1856.0,1002.0,2340.0,0.0,8.0,982.0
22008001,0.0,865.0,609.0,1474.0,3297.0,2430.0,1856.0
22008001,0.0,4642.0,0.0,2810.0,0.0,1118.0,496.0
22008007,0.0,0.0,0.0,0.0,908.0,0.0,0.0
22008009,924.0,7542.0,3176.0,1110.0,0.0,2694.0,5742.0
22008009,0.0,0.0,1146.0,2462.0,3406.0,2654.0,849.0
22008009,0.0,1160.0,1986,0.0,0.0,1146.0,2462.0
22008009,920.0,1.0,0.0,1712.0,0.0,602.0,0.0
22008009,3492.0,750.0,1210.0,1948.0,0.0,2634.0,6080.0
22008009,0.0,0.0,812.0,1782.0,0.0,1.0,1726.0
22008009,0.0,432.0,0.0,0.0,812.0,1782.0,0.0
22008009,0.0,0.0,0.0,0.0,0.0,3032.0,0.0
22008009,0.0,1136.0,0.0,0.0,0.0,0.0,0.0
22008009,1330.0,0.0,484.0,0.0,1136.0,0.0,0.0
22008009,0.0,0.0,0.0,0.0,908.0,0.0,0.0
22008009,1270.0,0.0,0.0,0.0,454.0,502.0,878.0
22008009,0.0,0.0,0.0,882.0,1270.0,0.0,0.0
22008011,248.0,662.0,8686.0,1010.0,1.0,0.0,0.0
22008011,378.0,738.0,0.0,504.0,3330.0,0.0,0.0
22008011,1258.0,5886.0,0.0,0.0,0.0,592.0,3022.0
22008011,858.0,0.0,854.0,2544.0,2697.0,1258.0,5886.0
22008011,3152.0,2754.0,2342.0,858.0,0.0,854.0,2544.0
22008011,2282.0,0.0,0.0,702.0,2781.0,2120.0,1260.0
22008011,0.0,865.0,609.0,1474.0,3297.0,2430.0,1856.0
22008011,2170.0,0.0,865.0,609.0,1474.0,3297.0,2430.0
22008011,0.0,1346.0,2170.0,0.0,865.0,609.0,1474.0
22008011,1080.0,2422.0,408.0,0.0,1346.0,2170.0,0.0
22008011,3250.0,0.0,865.0,0.0,0.0,3607.0,1142.0
22008011,2654.0,849.0,1762.0,0.0,4094.0,924.0,7542.0
22008011,3406.0,2654.0,849.0,1762.0,0.0,4094.0,924.0
22008012,1010.0,1.0,0.0,0.0,0.0,0.0,0.0
22008012,662.0,8686.0,1010.0,1.0,0.0,0.0,0.0
22008012,754.0,378.0,738.0,0.0,504.0,3330.0,0.0
22008012,1410.0,754.0,378.0,738.0,0.0,504.0,3330.0
22008012,1078.0,1410.0,754.0,378.0,738.0,0.0,504.0
22008012,0.0,0.0,0.0,592.0,3022.0,1078.0,1410.0
22008012,0.0,0.0,702.0,2781.0,2120.0,1260.0,976.0
22008012,920.0,0.0,0.0,3650.0,1714.0,0.0,1572.0
22008012,1856.0,1002.0,2340.0,0.0,8.0,982.0,920.0
22008012,0.0,865.0,609.0,1474.0,3297.0,2430.0,1856.0
22008012,0.0,865.0,0.0,0.0,3607.0,1142.0,0.0
22008012,0.0,1118.0,496.0,288.0,3250.0,0.0,865.0
22008012,0.0,2810.0,0.0,1118.0,496.0,288.0,3250.0
22008012,0.0,4642.0,0.0,2810.0,0.0,1118.0,496.0
22008012,1922.0,2364.0,1594.0,1104.0,0.0,0.0,6748.0
22008012,2041.0,1922.0,2364.0,1594.0,1104.0,0.0,0.0
22008012,5742.0,2041.0,1922.0,2364.0,1594.0,1104.0,0.0
22008012,3176.0,1110.0,0.0,2694.0,5742.0,2041.0,1922.0
22008012,924.0,7542.0,3176.0,1110.0,0.0,2694.0,5742.0
22008012,2654.0,849.0,1762.0,0.0,4094.0,924.0,7542.0
22008012,3406.0,2654.0,849.0,1762.0,0.0,4094.0,924.0
22008012,0.0,602.0,0.0,1160.0,1986,0.0,0.0
22008012,920.0,1.0,0.0,1712.0,0.0,602.0,0.0
