pluno,time,qty,d,d+1,d+2,d+3,d+4,d+5,d+6
22030010,153,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
22030010,165,1.024,1.09,1.09,1.09,1.09,1.09,1.09,1.09
22030011,147,1.73,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22030011,156,1.448,0.628,0.628,0.628,0.628,0.628,0.628,0.628
22030011,157,0.892,0.202,0.202,0.202,0.202,0.202,0.202,0.202
22030011,159,1.204,1.502,1.502,1.502,1.502,1.502,1.502,1.502
22030011,163,1.602,1.048,1.048,1.048,1.048,1.048,1.048,1.048
22030011,164,1.154,1.066,1.066,1.066,1.066,1.066,1.066,1.066
22030011,165,1.768,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22030011,170,2.174,0.536,0.536,0.536,0.536,0.536,0.536,0.536
22030011,172,1.37,1.62,1.62,1.62,1.62,1.62,1.62,1.62
22030011,173,1.282,1.368,1.368,1.368,1.368,1.368,1.368,1.368
22030011,174,0.9,0.84,0.84,0.84,0.84,0.84,0.84,0.84
22032012,146,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003
22032012,147,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
22032012,154,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
22032012,155,0.006,0.001,0.001,0.001,0.001,0.001,0.001,0.001
22034001,164,0.408,0.001,0.001,0.001,0.001,0.001,0.001,0.001
22034001,165,1.426,0.001,0.001,0.001,0.001,0.001,0.001,0.001
22034002,161,0.934,0.001,0.001,0.001,0.001,0.001,0.001,0.001
22034021,159,0.666,0.304,0.304,0.304,0.304,0.304,0.304,0.304
22035000,147,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
22035000,149,2.072,4.186,4.186,4.186,4.186,4.186,4.186,4.186
22035000,151,0.454,0.456,0.456,0.456,0.456,0.456,0.456,0.456
22035000,152,0.634,4.186,4.186,4.186,4.186,4.186,4.186,4.186
22035000,154,0.57,0.496,0.496,0.496,0.496,0.496,0.496,0.496
22035000,173,1.402,0.346,0.346,0.346,0.346,0.346,0.346,0.346
22035009,166,0.946,0.476,0.476,0.476,0.476,0.476,0.476,0.476
22036000,146,2.328,3.685,3.685,3.685,3.685,3.685,3.685,3.685
22036000,147,2.08,1.696,1.696,1.696,1.696,1.696,1.696,1.696
22036000,149,0.72,1.838,1.838,1.838,1.838,1.838,1.838,1.838
22036000,152,5.08,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22036000,153,3.264,0.884,0.884,0.884,0.884,0.884,0.884,0.884
22036000,154,0.72,2.474,2.474,2.474,2.474,2.474,2.474,2.474
22036000,160,1.894,4.938,4.938,4.938,4.938,4.938,4.938,4.938
22036000,161,0.774,0.84,0.84,0.84,0.84,0.84,0.84,0.84
22036000,162,1.91,1.324,1.324,1.324,1.324,1.324,1.324,1.324
22036000,164,1.522,1.154,1.154,1.154,1.154,1.154,1.154,1.154
22036000,165,2.552,2.088,2.088,2.088,2.088,2.088,2.088,2.088
22036000,166,2.49,2.088,2.088,2.088,2.088,2.088,2.088,2.088
22036000,167,0.514,0.496,0.496,0.496,0.496,0.496,0.496,0.496
22036000,170,1.458,1.18,1.18,1.18,1.18,1.18,1.18,1.18
22036000,171,1.804,1.62,1.62,1.62,1.62,1.62,1.62,1.62
22036000,173,0.728,1.368,1.368,1.368,1.368,1.368,1.368,1.368
22040157,167,0.722,0.696,0.696,0.696,0.696,0.696,0.696,0.696
22040157,171,0.662,0.001,0.001,0.001,0.001,0.001,0.001,0.001
22040158,173,0.45,0.001,0.001,0.001,0.001,0.001,0.001,0.001
22042082,151,1.176,0.001,0.001,0.001,0.001,0.001,0.001,0.001
22042082,156,0.724,0.001,0.001,0.001,0.001,0.001,0.001,0.001
22042082,173,0.388,0.416,0.416,0.416,0.416,0.416,0.416,0.416
22100000,158,1.138,0.478,0.478,0.478,0.478,0.478,0.478,0.478
22100000,169,0.356,0.358,0.358,0.358,0.358,0.358,0.358,0.358
22100010,147,0.62,0.504,0.504,0.504,0.504,0.504,0.504,0.504
22100010,149,0.878,0.566,0.566,0.566,0.566,0.566,0.566,0.566
22100010,160,0.28,0.34,0.34,0.34,0.34,0.34,0.34,0.34
22100010,161,0.826,0.724,0.724,0.724,0.724,0.724,0.724,0.724
22100010,162,0.626,0.594,0.594,0.594,0.594,0.594,0.594,0.594
22100010,163,0.682,0.56,0.56,0.56,0.56,0.56,0.56,0.56
22100010,164,0.532,0.498,0.498,0.498,0.498,0.498,0.498,0.498
22100010,172,0.552,0.492,0.492,0.492,0.492,0.492,0.492,0.492
22100010,173,0.5,0.598,0.598,0.598,0.598,0.598,0.598,0.598
22100025,153,0.18,0.416,0.416,0.416,0.416,0.416,0.416,0.416
22101000,149,1.246,0.846,0.846,0.846,0.846,0.846,0.846,0.846
22101000,151,0.934,0.626,0.626,0.626,0.626,0.626,0.626,0.626
22101000,154,0.576,0.624,0.624,0.624,0.624,0.624,0.624,0.624
22101000,157,0.828,0.5,0.5,0.5,0.5,0.5,0.5,0.5
22101000,158,0.55,0.728,0.728,0.728,0.728,0.728,0.728,0.728
22101000,160,0.446,0.434,0.434,0.434,0.434,0.434,0.434,0.434
22101001,151,0.632,0.724,0.724,0.724,0.724,0.724,0.724,0.724
22101001,163,0.224,0.366,0.366,0.366,0.366,0.366,0.366,0.366
22101001,166,0.27,0.34,0.34,0.34,0.34,0.34,0.34,0.34
22101001,168,0.298,0.34,0.34,0.34,0.34,0.34,0.34,0.34
22102000,151,1.388,0.982,0.982,0.982,0.982,0.982,0.982,0.982
22102000,166,1.548,0.556,0.556,0.556,0.556,0.556,0.556,0.556
22102000,173,0.582,0.616,0.616,0.616,0.616,0.616,0.616,0.616
22102004,149,0.438,0.458,0.458,0.458,0.458,0.458,0.458,0.458
22102005,147,0.842,1.47,1.47,1.47,1.47,1.47,1.47,1.47
22102005,151,0.206,0.304,0.304,0.304,0.304,0.304,0.304,0.304
22102005,159,0.44,0.42,0.42,0.42,0.42,0.42,0.42,0.42
22102005,164,0.658,0.556,0.556,0.556,0.556,0.556,0.556,0.556
22102005,166,0.462,0.47,0.47,0.47,0.47,0.47,0.47,0.47
22102005,169,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29
22102009,148,0.676,0.63,0.63,0.63,0.63,0.63,0.63,0.63
22102009,149,1.368,0.982,0.982,0.982,0.982,0.982,0.982,0.982
22102009,158,0.52,0.494,0.494,0.494,0.494,0.494,0.494,0.494
22102009,162,0.716,0.716,0.716,0.716,0.716,0.716,0.716,0.716
22102009,174,0.972,0.764,0.764,0.764,0.764,0.764,0.764,0.764
22102012,164,0.79,0.788,0.788,0.788,0.788,0.788,0.788,0.788
22102013,153,0.904,0.982,0.982,0.982,0.982,0.982,0.982,0.982
22102013,155,0.348,0.304,0.304,0.304,0.304,0.304,0.304,0.304
22102013,164,0.532,0.498,0.498,0.498,0.498,0.498,0.498,0.498
22102013,170,1.116,1.268,1.268,1.268,1.268,1.268,1.268,1.268
22102014,147,1.164,1.47,1.47,1.47,1.47,1.47,1.47,1.47
22102014,150,2.738,1.368,1.368,1.368,1.368,1.368,1.368,1.368
22102014,151,1.812,0.866,0.866,0.866,0.866,0.866,0.866,0.866
22102014,152,0.39,0.386,0.386,0.386,0.386,0.386,0.386,0.386
22102014,153,2.276,1.368,1.368,1.368,1.368,1.368,1.368,1.368
22102014,155,0.966,2.088,2.088,2.088,2.088,2.088,2.088,2.088
22102014,157,0.466,0.76,0.76,0.76,0.76,0.76,0.76,0.76
22102014,159,4.272,0.728,0.728,0.728,0.728,0.728,0.728,0.728
22102014,166,2.04,0.728,0.728,0.728,0.728,0.728,0.728,0.728
22102014,169,0.726,4.91,4.91,4.91,4.91,4.91,4.91,4.91
22102014,170,0.576,0.584,0.584,0.584,0.584,0.584,0.584,0.584
22102014,172,0.73,2.39,2.39,2.39,2.39,2.39,2.39,2.39
22102014,173,1.022,4.91,4.91,4.91,4.91,4.91,4.91,4.91
22102014,174,1.048,0.764,0.764,0.764,0.764,0.764,0.764,0.764
22103001,147,0.84,1.368,1.368,1.368,1.368,1.368,1.368,1.368
22103001,153,0.482,0.496,0.496,0.496,0.496,0.496,0.496,0.496
22103001,174,1.024,0.662,0.662,0.662,0.662,0.662,0.662,0.662
22103003,158,0.57,0.604,0.604,0.604,0.604,0.604,0.604,0.604
22103003,165,0.526,0.51,0.51,0.51,0.51,0.51,0.51,0.51
22103004,173,4.586,0.494,0.494,0.494,0.494,0.494,0.494,0.494
22103005,157,0.556,0.5,0.5,0.5,0.5,0.5,0.5,0.5
22103005,172,1.324,0.574,0.574,0.574,0.574,0.574,0.574,0.574
22103006,150,1.994,0.626,0.626,0.626,0.626,0.626,0.626,0.626
22103006,170,0.964,0.574,0.574,0.574,0.574,0.574,0.574,0.574
22103008,162,0.802,1.066,1.066,1.066,1.066,1.066,1.066,1.066
22103009,146,1.216,1.368,1.368,1.368,1.368,1.368,1.368,1.368
22103010,147,1.158,1.368,1.368,1.368,1.368,1.368,1.368,1.368
22103010,151,2.512,5.13,5.13,5.13,5.13,5.13,5.13,5.13
22103010,154,1.242,0.896,0.896,0.896,0.896,0.896,0.896,0.896
22103011,151,1.526,0.626,0.626,0.626,0.626,0.626,0.626,0.626
22103011,152,1.268,0.626,0.626,0.626,0.626,0.626,0.626,0.626
22103011,155,0.564,0.626,0.626,0.626,0.626,0.626,0.626,0.626
22103011,170,0.744,0.574,0.574,0.574,0.574,0.574,0.574,0.574
22103012,149,1.552,1.368,1.368,1.368,1.368,1.368,1.368,1.368
22103013,165,0.584,1.004,1.004,1.004,1.004,1.004,1.004,1.004
22110004,170,0.62,0.492,0.492,0.492,0.492,0.492,0.492,0.492
22110004,174,1.894,0.244,0.244,0.244,0.244,0.244,0.244,0.244
22110085,151,1.176,0.428,0.428,0.428,0.428,0.428,0.428,0.428
22111004,149,0.76,0.88,0.88,0.88,0.88,0.88,0.88,0.88
22111004,153,1.754,0.972,0.972,0.972,0.972,0.972,0.972,0.972
22111004,154,1.17,0.638,0.638,0.638,0.638,0.638,0.638,0.638
22111004,157,0.37,0.056,0.056,0.056,0.056,0.056,0.056,0.056
22111004,158,0.932,1.066,1.066,1.066,1.066,1.066,1.066,1.066
22111004,159,0.766,0.728,0.728,0.728,0.728,0.728,0.728,0.728
22111004,161,0.3,0.36,0.36,0.36,0.36,0.36,0.36,0.36
