pluno,time,qty,d,d+1,d+2,d+3,d+4,d+5,d+6
22030010,153,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
22030010,165,1.024,0.63,0.63,0.63,0.63,0.63,0.63,0.63
22030011,147,1.73,0.495,0.495,0.495,0.495,0.495,0.495,0.495
22030011,156,1.448,0.956,0.956,0.956,0.956,0.956,0.956,0.956
22030011,157,0.892,0.956,0.956,0.956,0.956,0.956,0.956,0.956
22030011,159,1.204,0.956,0.956,0.956,0.956,0.956,0.956,0.956
22030011,163,1.602,0.63,0.63,0.63,0.63,0.63,0.63,0.63
22030011,164,1.154,1.066,1.066,1.066,1.066,1.066,1.066,1.066
22030011,165,1.768,0.63,0.63,0.63,0.63,0.63,0.63,0.63
22030011,170,2.174,1.326,1.326,1.326,1.326,1.326,1.326,1.326
22030011,172,1.37,0.886,0.886,0.886,0.886,0.886,0.886,0.886
22030011,173,1.282,1.09,1.09,1.09,1.09,1.09,1.09,1.09
22030011,174,0.9,0.896,0.896,0.896,0.896,0.896,0.896,0.896
22032012,146,0.004,0.001,0.001,0.001,0.001,0.001,0.001,0.001
22032012,147,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
22032012,154,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
22032012,155,0.006,0.001,0.001,0.001,0.001,0.001,0.001,0.001
22034001,164,0.408,0.456,0.456,0.456,0.456,0.456,0.456,0.456
22034001,165,1.426,0.696,0.696,0.696,0.696,0.696,0.696,0.696
22034002,161,0.934,0.696,0.696,0.696,0.696,0.696,0.696,0.696
22034021,159,0.666,0.696,0.696,0.696,0.696,0.696,0.696,0.696
22035000,147,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
22035000,149,2.072,5.322,5.322,5.322,5.322,5.322,5.322,5.322
22035000,151,0.454,0.456,0.456,0.456,0.456,0.456,0.456,0.456
22035000,152,0.634,1.85,1.85,1.85,1.85,1.85,1.85,1.85
22035000,154,0.57,0.56,0.56,0.56,0.56,0.56,0.56,0.56
22035000,173,1.402,1.258,1.258,1.258,1.258,1.258,1.258,1.258
22035009,166,0.946,0.63,0.63,0.63,0.63,0.63,0.63,0.63
22036000,146,2.328,3.416,3.416,3.416,3.416,3.416,3.416,3.416
22036000,147,2.08,4.474,4.474,4.474,4.474,4.474,4.474,4.474
22036000,149,0.72,0.664,0.664,0.664,0.664,0.664,0.664,0.664
22036000,152,5.08,3.13,3.13,3.13,3.13,3.13,3.13,3.13
22036000,153,3.264,3.988,3.988,3.988,3.988,3.988,3.988,3.988
22036000,154,0.72,3.048,3.048,3.048,3.048,3.048,3.048,3.048
22036000,160,1.894,2.018,2.018,2.018,2.018,2.018,2.018,2.018
22036000,161,0.774,0.896,0.896,0.896,0.896,0.896,0.896,0.896
22036000,162,1.91,0.896,0.896,0.896,0.896,0.896,0.896,0.896
22036000,164,1.522,1.276,1.276,1.276,1.276,1.276,1.276,1.276
22036000,165,2.552,1.328,1.328,1.328,1.328,1.328,1.328,1.328
22036000,166,2.49,0.66,0.66,0.66,0.66,0.66,0.66,0.66
22036000,167,0.514,0.496,0.496,0.496,0.496,0.496,0.496,0.496
22036000,170,1.458,1.57,1.57,1.57,1.57,1.57,1.57,1.57
22036000,171,1.804,1.548,1.548,1.548,1.548,1.548,1.548,1.548
22036000,173,0.728,1.548,1.548,1.548,1.548,1.548,1.548,1.548
22040157,167,0.722,0.696,0.696,0.696,0.696,0.696,0.696,0.696
22040157,171,0.662,0.696,0.696,0.696,0.696,0.696,0.696,0.696
22040158,173,0.45,0.282,0.282,0.282,0.282,0.282,0.282,0.282
22042082,151,1.176,0.696,0.696,0.696,0.696,0.696,0.696,0.696
22042082,156,0.724,0.696,0.696,0.696,0.696,0.696,0.696,0.696
22042082,173,0.388,0.43,0.43,0.43,0.43,0.43,0.43,0.43
22100000,158,1.138,0.752,0.752,0.752,0.752,0.752,0.752,0.752
22100000,169,0.356,0.316,0.316,0.316,0.316,0.316,0.316,0.316
22100010,147,0.62,1.368,1.368,1.368,1.368,1.368,1.368,1.368
22100010,149,0.878,1.368,1.368,1.368,1.368,1.368,1.368,1.368
22100010,160,0.28,0.316,0.316,0.316,0.316,0.316,0.316,0.316
22100010,161,0.826,0.752,0.752,0.752,0.752,0.752,0.752,0.752
22100010,162,0.626,0.34,0.34,0.34,0.34,0.34,0.34,0.34
22100010,163,0.682,0.686,0.686,0.686,0.686,0.686,0.686,0.686
22100010,164,0.532,0.752,0.752,0.752,0.752,0.752,0.752,0.752
22100010,172,0.552,0.638,0.638,0.638,0.638,0.638,0.638,0.638
22100010,173,0.5,0.492,0.492,0.492,0.492,0.492,0.492,0.492
22100025,153,0.18,0.088,0.088,0.088,0.088,0.088,0.088,0.088
22101000,149,1.246,1.336,1.336,1.336,1.336,1.336,1.336,1.336
22101000,151,0.934,1.768,1.768,1.768,1.768,1.768,1.768,1.768
22101000,154,0.576,0.638,0.638,0.638,0.638,0.638,0.638,0.638
22101000,157,0.828,0.638,0.638,0.638,0.638,0.638,0.638,0.638
22101000,158,0.55,0.598,0.598,0.598,0.598,0.598,0.598,0.598
22101000,160,0.446,0.458,0.458,0.458,0.458,0.458,0.458,0.458
22101001,151,0.632,0.404,0.404,0.404,0.404,0.404,0.404,0.404
22101001,163,0.224,0.152,0.152,0.152,0.152,0.152,0.152,0.152
22101001,166,0.27,0.404,0.404,0.404,0.404,0.404,0.404,0.404
22101001,168,0.298,0.316,0.316,0.316,0.316,0.316,0.316,0.316
22102000,151,1.388,1.502,1.502,1.502,1.502,1.502,1.502,1.502
22102000,166,1.548,1.268,1.268,1.268,1.268,1.268,1.268,1.268
22102000,173,0.582,0.574,0.574,0.574,0.574,0.574,0.574,0.574
22102004,149,0.438,2.002,2.002,2.002,2.002,2.002,2.002,2.002
22102005,147,0.842,1.47,1.47,1.47,1.47,1.47,1.47,1.47
22102005,151,0.206,0.386,0.386,0.386,0.386,0.386,0.386,0.386
22102005,159,0.44,0.42,0.42,0.42,0.42,0.42,0.42,0.42
22102005,164,0.658,0.49,0.49,0.49,0.49,0.49,0.49,0.49
22102005,166,0.462,1.268,1.268,1.268,1.268,1.268,1.268,1.268
22102005,169,0.29,0.288,0.288,0.288,0.288,0.288,0.288,0.288
22102009,148,0.676,0.982,0.982,0.982,0.982,0.982,0.982,0.982
22102009,149,1.368,1.22,1.22,1.22,1.22,1.22,1.22,1.22
22102009,158,0.52,0.574,0.574,0.574,0.574,0.574,0.574,0.574
22102009,162,0.716,0.688,0.688,0.688,0.688,0.688,0.688,0.688
22102009,174,0.972,0.316,0.316,0.316,0.316,0.316,0.316,0.316
22102012,164,0.79,0.626,0.626,0.626,0.626,0.626,0.626,0.626
22102013,153,0.904,0.982,0.982,0.982,0.982,0.982,0.982,0.982
22102013,155,0.348,0.49,0.49,0.49,0.49,0.49,0.49,0.49
22102013,164,0.532,0.696,0.696,0.696,0.696,0.696,0.696,0.696
22102013,170,1.116,1.368,1.368,1.368,1.368,1.368,1.368,1.368
22102014,147,1.164,2.088,2.088,2.088,2.088,2.088,2.088,2.088
22102014,150,2.738,2.018,2.018,2.018,2.018,2.018,2.018,2.018
22102014,151,1.812,2.358,2.358,2.358,2.358,2.358,2.358,2.358
22102014,152,0.39,0.386,0.386,0.386,0.386,0.386,0.386,0.386
22102014,153,2.276,1.18,1.18,1.18,1.18,1.18,1.18,1.18
22102014,155,0.966,0.95,0.95,0.95,0.95,0.95,0.95,0.95
22102014,157,0.466,1.548,1.548,1.548,1.548,1.548,1.548,1.548
22102014,159,4.272,1.09,1.09,1.09,1.09,1.09,1.09,1.09
22102014,166,2.04,2.018,2.018,2.018,2.018,2.018,2.018,2.018
22102014,169,0.726,0.696,0.696,0.696,0.696,0.696,0.696,0.696
22102014,170,0.576,0.602,0.602,0.602,0.602,0.602,0.602,0.602
22102014,172,0.73,1.548,1.548,1.548,1.548,1.548,1.548,1.548
22102014,173,1.022,1.548,1.548,1.548,1.548,1.548,1.548,1.548
22102014,174,1.048,1.368,1.368,1.368,1.368,1.368,1.368,1.368
22103001,147,0.84,1.368,1.368,1.368,1.368,1.368,1.368,1.368
22103001,153,0.482,1.368,1.368,1.368,1.368,1.368,1.368,1.368
22103001,174,1.024,0.752,0.752,0.752,0.752,0.752,0.752,0.752
22103003,158,0.57,0.574,0.574,0.574,0.574,0.574,0.574,0.574
22103003,165,0.526,0.574,0.574,0.574,0.574,0.574,0.574,0.574
22103004,173,4.586,0.63,0.63,0.63,0.63,0.63,0.63,0.63
22103005,157,0.556,0.574,0.574,0.574,0.574,0.574,0.574,0.574
22103005,172,1.324,0.574,0.574,0.574,0.574,0.574,0.574,0.574
22103006,150,1.994,1.268,1.268,1.268,1.268,1.268,1.268,1.268
22103006,170,0.964,0.752,0.752,0.752,0.752,0.752,0.752,0.752
22103008,162,0.802,0.63,0.63,0.63,0.63,0.63,0.63,0.63
22103009,146,1.216,1.268,1.268,1.268,1.268,1.268,1.268,1.268
22103010,147,1.158,1.368,1.368,1.368,1.368,1.368,1.368,1.368
22103010,151,2.512,0.574,0.574,0.574,0.574,0.574,0.574,0.574
22103010,154,1.242,1.452,1.452,1.452,1.452,1.452,1.452,1.452
22103011,151,1.526,1.268,1.268,1.268,1.268,1.268,1.268,1.268
22103011,152,1.268,0.626,0.626,0.626,0.626,0.626,0.626,0.626
22103011,155,0.564,0.574,0.574,0.574,0.574,0.574,0.574,0.574
22103011,170,0.744,0.752,0.752,0.752,0.752,0.752,0.752,0.752
22103012,149,1.552,0.574,0.574,0.574,0.574,0.574,0.574,0.574
22103013,165,0.584,0.574,0.574,0.574,0.574,0.574,0.574,0.574
22110004,170,0.62,0.696,0.696,0.696,0.696,0.696,0.696,0.696
22110004,174,1.894,0.696,0.696,0.696,0.696,0.696,0.696,0.696
22110085,151,1.176,0.696,0.696,0.696,0.696,0.696,0.696,0.696
22111004,149,0.76,1.09,1.09,1.09,1.09,1.09,1.09,1.09
22111004,153,1.754,1.548,1.548,1.548,1.548,1.548,1.548,1.548
22111004,154,1.17,1.368,1.368,1.368,1.368,1.368,1.368,1.368
22111004,157,0.37,0.386,0.386,0.386,0.386,0.386,0.386,0.386
22111004,158,0.932,1.368,1.368,1.368,1.368,1.368,1.368,1.368
22111004,159,0.766,1.368,1.368,1.368,1.368,1.368,1.368,1.368
