pluno,time,qty,d,d+1,d+2,d+3,d+4,d+5,d+6
22030010,153,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
22030010,165,1.024,1.002,1.002,1.002,1.002,1.002,1.002,1.002
22030011,147,1.73,1.642,1.642,1.642,1.642,1.642,1.642,1.642
22030011,156,1.448,1.066,1.066,1.066,1.066,1.066,1.066,1.066
22030011,157,0.892,0.758,0.758,0.758,0.758,0.758,0.758,0.758
22030011,159,1.204,0.658,0.658,0.658,0.658,0.658,0.658,0.658
22030011,163,1.602,0.676,0.676,0.676,0.676,0.676,0.676,0.676
22030011,164,1.154,1.066,1.066,1.066,1.066,1.066,1.066,1.066
22030011,165,1.768,0.896,0.896,0.896,0.896,0.896,0.896,0.896
22030011,170,2.174,2.372,2.372,2.372,2.372,2.372,2.372,2.372
22030011,172,1.37,0.896,0.896,0.896,0.896,0.896,0.896,0.896
22030011,173,1.282,1.078,1.078,1.078,1.078,1.078,1.078,1.078
22030011,174,0.9,0.84,0.84,0.84,0.84,0.84,0.84,0.84
22032012,146,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004
22032012,147,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
22032012,154,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
22032012,155,0.006,0.388,0.388,0.388,0.388,0.388,0.388,0.388
22034001,164,0.408,0.546,0.546,0.546,0.546,0.546,0.546,0.546
22034001,165,1.426,0.546,0.546,0.546,0.546,0.546,0.546,0.546
22034002,161,0.934,0.546,0.546,0.546,0.546,0.546,0.546,0.546
22034021,159,0.666,0.696,0.696,0.696,0.696,0.696,0.696,0.696
22035000,147,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
22035000,149,2.072,5.322,5.322,5.322,5.322,5.322,5.322,5.322
22035000,151,0.454,5.322,5.322,5.322,5.322,5.322,5.322,5.322
22035000,152,0.634,1.248,1.248,1.248,1.248,1.248,1.248,1.248
22035000,154,0.57,0.496,0.496,0.496,0.496,0.496,0.496,0.496
22035000,173,1.402,1.514,1.514,1.514,1.514,1.514,1.514,1.514
22035009,166,0.946,0.696,0.696,0.696,0.696,0.696,0.696,0.696
22036000,146,2.328,2.372,2.372,2.372,2.372,2.372,2.372,2.372
22036000,147,2.08,4.474,4.474,4.474,4.474,4.474,4.474,4.474
22036000,149,0.72,0.896,0.896,0.896,0.896,0.896,0.896,0.896
22036000,152,5.08,2.372,2.372,2.372,2.372,2.372,2.372,2.372
22036000,153,3.264,3.988,3.988,3.988,3.988,3.988,3.988,3.988
22036000,154,0.72,0.896,0.896,0.896,0.896,0.896,0.896,0.896
22036000,160,1.894,2.372,2.372,2.372,2.372,2.372,2.372,2.372
22036000,161,0.774,1.47,1.47,1.47,1.47,1.47,1.47,1.47
22036000,162,1.91,1.47,1.47,1.47,1.47,1.47,1.47,1.47
22036000,164,1.522,1.47,1.47,1.47,1.47,1.47,1.47,1.47
22036000,165,2.552,1.47,1.47,1.47,1.47,1.47,1.47,1.47
22036000,166,2.49,1.47,1.47,1.47,1.47,1.47,1.47,1.47
22036000,167,0.514,0.96,0.96,0.96,0.96,0.96,0.96,0.96
22036000,170,1.458,0.896,0.896,0.896,0.896,0.896,0.896,0.896
22036000,171,1.804,0.896,0.896,0.896,0.896,0.896,0.896,0.896
22036000,173,0.728,2.372,2.372,2.372,2.372,2.372,2.372,2.372
22040157,167,0.722,0.696,0.696,0.696,0.696,0.696,0.696,0.696
