pluno,time,qty,d,d+1,d+2,d+3,d+4,d+5,d+6
22008022,170,0.166,0.182,0.182,0.182,0.182,0.182,0.182,0.182
22008029,5,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
22010001,2,1.494,1.07,1.07,1.07,1.07,1.07,1.07,1.07
22010001,4,2.668,2.668,2.668,2.668,2.668,2.668,2.668,2.668
22010032,5,0.236,0.234,0.234,0.234,0.234,0.234,0.234,0.234
22010032,174,0.22,0.344,0.344,0.344,0.344,0.344,0.344,0.344
22012000,6,2.162,1.744,1.744,1.744,1.744,1.744,1.744,1.744
22012011,3,1.68,1.744,1.744,1.744,1.744,1.744,1.744,1.744
22012011,5,1.706,1.744,1.744,1.744,1.744,1.744,1.744,1.744
22013008,0,2.154,1.744,1.744,1.744,1.744,1.744,1.744,1.744
22013008,1,1.328,1.396,1.396,1.396,1.396,1.396,1.396,1.396
22013008,2,1.126,1.142,1.142,1.142,1.142,1.142,1.142,1.142
22013008,3,0.688,0.692,0.692,0.692,0.692,0.692,0.692,0.692
22013008,5,10.592,2.486,2.486,2.486,2.486,2.486,2.486,2.486
22013008,6,0.818,2.486,2.486,2.486,2.486,2.486,2.486,2.486
22013022,1,0.87,0.944,0.944,0.944,0.944,0.944,0.944,0.944
22020001,2,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
22020004,174,2.21,0.63,0.63,0.63,0.63,0.63,0.63,0.63
22020005,5,1.628,1.618,1.618,1.618,1.618,1.618,1.618,1.618
22020006,146,3.446,0.63,0.63,0.63,0.63,0.63,0.63,0.63
22020006,170,3.64,0.63,0.63,0.63,0.63,0.63,0.63,0.63
22020006,173,2.41,0.63,0.63,0.63,0.63,0.63,0.63,0.63
22020010,152,2.029,0.63,0.63,0.63,0.63,0.63,0.63,0.63
22020010,159,5.092,3.38,3.38,3.38,3.38,3.38,3.38,3.38
22021009,155,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
22021260,1,2.264,2.486,2.486,2.486,2.486,2.486,2.486,2.486
22021260,3,2.3,2.486,2.486,2.486,2.486,2.486,2.486,2.486
22021260,151,7.79,2.698,2.698,2.698,2.698,2.698,2.698,2.698
22030005,151,0.54,0.546,0.546,0.546,0.546,0.546,0.546,0.546
22030005,152,0.488,0.388,0.388,0.388,0.388,0.388,0.388,0.388
22030005,165,0.702,0.63,0.63,0.63,0.63,0.63,0.63,0.63
22030005,166,0.926,0.63,0.63,0.63,0.63,0.63,0.63,0.63
22030005,170,1.096,0.546,0.546,0.546,0.546,0.546,0.546,0.546
22030005,171,0.556,0.546,0.546,0.546,0.546,0.546,0.546,0.546
22030008,147,0.652,0.63,0.63,0.63,0.63,0.63,0.63,0.63
22030008,154,0.566,0.63,0.63,0.63,0.63,0.63,0.63,0.63
22030008,166,2.634,1.26,1.26,1.26,1.26,1.26,1.26,1.26
22030008,169,1.016,0.63,0.63,0.63,0.63,0.63,0.63,0.63
22030008,170,0.968,0.546,0.546,0.546,0.546,0.546,0.546,0.546
22030010,153,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
22030010,165,1.024,0.63,0.63,0.63,0.63,0.63,0.63,0.63
22030011,6,1.544,1.446,1.446,1.446,1.446,1.446,1.446,1.446
22030011,147,1.73,1.642,1.642,1.642,1.642,1.642,1.642,1.642
22030011,156,1.448,0.63,0.63,0.63,0.63,0.63,0.63,0.63
22030011,157,0.892,0.63,0.63,0.63,0.63,0.63,0.63,0.63
22030011,159,1.204,1.26,1.26,1.26,1.26,1.26,1.26,1.26
22030011,163,1.602,0.63,0.63,0.63,0.63,0.63,0.63,0.63
22030011,164,1.154,0.546,0.546,0.546,0.546,0.546,0.546,0.546
22030011,165,1.768,2.372,2.372,2.372,2.372,2.372,2.372,2.372
22030011,170,2.174,0.546,0.546,0.546,0.546,0.546,0.546,0.546
22030011,172,1.37,3.38,3.38,3.38,3.38,3.38,3.38,3.38
22030011,173,1.282,1.26,1.26,1.26,1.26,1.26,1.26,1.26
22030011,174,0.9,0.84,0.84,0.84,0.84,0.84,0.84,0.84
22030050,1,0.966,1.446,1.446,1.446,1.446,1.446,1.446,1.446
22032000,1,1.638,1.446,1.446,1.446,1.446,1.446,1.446,1.446
22032000,2,0.64,2.486,2.486,2.486,2.486,2.486,2.486,2.486
22032000,3,0.834,0.836,0.836,0.836,0.836,0.836,0.836,0.836
22032000,4,0.268,0.402,0.402,0.402,0.402,0.402,0.402,0.402
22032012,146,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003
22032012,147,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
22032012,154,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
22032012,155,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005
22034000,3,0.686,0.692,0.692,0.692,0.692,0.692,0.692,0.692
22034001,164,0.408,0.344,0.344,0.344,0.344,0.344,0.344,0.344
22034001,165,1.426,0.696,0.696,0.696,0.696,0.696,0.696,0.696
22034002,161,0.934,0.696,0.696,0.696,0.696,0.696,0.696,0.696
22034021,159,0.666,0.696,0.696,0.696,0.696,0.696,0.696,0.696
22035000,147,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
22035000,149,2.072,0.696,0.696,0.696,0.696,0.696,0.696,0.696
22035000,151,0.454,0.456,0.456,0.456,0.456,0.456,0.456,0.456
22035000,152,0.634,0.63,0.63,0.63,0.63,0.63,0.63,0.63
22035000,154,0.57,0.546,0.546,0.546,0.546,0.546,0.546,0.546
22035000,173,1.402,0.696,0.696,0.696,0.696,0.696,0.696,0.696
22035009,166,0.946,0.696,0.696,0.696,0.696,0.696,0.696,0.696
22035013,2,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
22036000,1,1.552,1.446,1.446,1.446,1.446,1.446,1.446,1.446
22036000,2,1.674,1.446,1.446,1.446,1.446,1.446,1.446,1.446
22036000,3,3.378,3.81,3.81,3.81,3.81,3.81,3.81,3.81
22036000,4,5.874,3.81,3.81,3.81,3.81,3.81,3.81,3.81
22036000,5,2.724,3.76,3.76,3.76,3.76,3.76,3.76,3.76
22036000,6,1.56,2.486,2.486,2.486,2.486,2.486,2.486,2.486
22036000,145,0.554,0.904,0.904,0.904,0.904,0.904,0.904,0.904
22036000,146,2.328,3.13,3.13,3.13,3.13,3.13,3.13,3.13
22036000,147,2.08,4.474,4.474,4.474,4.474,4.474,4.474,4.474
22036000,149,0.72,3.13,3.13,3.13,3.13,3.13,3.13,3.13
22036000,152,5.08,3.13,3.13,3.13,3.13,3.13,3.13,3.13
22036000,153,3.264,3.988,3.988,3.988,3.988,3.988,3.988,3.988
22036000,154,0.72,0.896,0.896,0.896,0.896,0.896,0.896,0.896
22036000,160,1.894,0.696,0.696,0.696,0.696,0.696,0.696,0.696
22036000,161,0.774,0.696,0.696,0.696,0.696,0.696,0.696,0.696
22036000,162,1.91,0.696,0.696,0.696,0.696,0.696,0.696,0.696
22036000,164,1.522,3.13,3.13,3.13,3.13,3.13,3.13,3.13
22036000,165,2.552,3.13,3.13,3.13,3.13,3.13,3.13,3.13
22036000,166,2.49,3.13,3.13,3.13,3.13,3.13,3.13,3.13
22036000,167,0.514,0.66,0.66,0.66,0.66,0.66,0.66,0.66
22036000,170,1.458,3.13,3.13,3.13,3.13,3.13,3.13,3.13
22036000,171,1.804,3.13,3.13,3.13,3.13,3.13,3.13,3.13
22036000,173,0.728,3.13,3.13,3.13,3.13,3.13,3.13,3.13
22040007,1,0.578,0.932,0.932,0.932,0.932,0.932,0.932,0.932
22040007,5,0.382,0.318,0.318,0.318,0.318,0.318,0.318,0.318
22040009,1,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
22040009,2,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004
22040009,5,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
22040157,167,0.722,0.696,0.696,0.696,0.696,0.696,0.696,0.696
22040157,171,0.662,0.696,0.696,0.696,0.696,0.696,0.696,0.696
22040158,173,0.45,0.448,0.448,0.448,0.448,0.448,0.448,0.448
22042082,151,1.176,0.696,0.696,0.696,0.696,0.696,0.696,0.696
22042082,156,0.724,0.696,0.696,0.696,0.696,0.696,0.696,0.696
22042082,173,0.388,0.282,0.282,0.282,0.282,0.282,0.282,0.282
22100000,158,1.138,1.136,1.136,1.136,1.136,1.136,1.136,1.136
22100000,169,0.356,0.366,0.366,0.366,0.366,0.366,0.366,0.366
22100010,5,0.464,0.47,0.47,0.47,0.47,0.47,0.47,0.47
22100010,147,0.62,0.316,0.316,0.316,0.316,0.316,0.316,0.316
22100010,149,0.878,0.316,0.316,0.316,0.316,0.316,0.316,0.316
22100010,160,0.28,0.316,0.316,0.316,0.316,0.316,0.316,0.316
22100010,161,0.826,0.316,0.316,0.316,0.316,0.316,0.316,0.316
22100010,162,0.626,0.316,0.316,0.316,0.316,0.316,0.316,0.316
22100010,163,0.682,0.676,0.676,0.676,0.676,0.676,0.676,0.676
22100010,164,0.532,0.316,0.316,0.316,0.316,0.316,0.316,0.316
22100010,172,0.552,0.316,0.316,0.316,0.316,0.316,0.316,0.316
22100010,173,0.5,0.498,0.498,0.498,0.498,0.498,0.498,0.498
22100025,5,0.426,0.43,0.43,0.43,0.43,0.43,0.43,0.43
22100025,153,0.18,0.316,0.316,0.316,0.316,0.316,0.316,0.316
22101000,2,0.668,1.06,1.06,1.06,1.06,1.06,1.06,1.06
22101000,5,0.456,1.692,1.692,1.692,1.692,1.692,1.692,1.692
22101000,6,1.894,1.692,1.692,1.692,1.692,1.692,1.692,1.692
22101000,149,1.246,1.336,1.336,1.336,1.336,1.336,1.336,1.336
22101000,151,0.934,0.496,0.496,0.496,0.496,0.496,0.496,0.496
22101000,154,0.576,0.316,0.316,0.316,0.316,0.316,0.316,0.316
22101000,157,0.828,1.336,1.336,1.336,1.336,1.336,1.336,1.336
22101000,158,0.55,0.556,0.556,0.556,0.556,0.556,0.556,0.556
22101000,160,0.446,0.316,0.316,0.316,0.316,0.316,0.316,0.316
22101001,0,1.162,1.06,1.06,1.06,1.06,1.06,1.06,1.06
22101001,2,0.972,1.06,1.06,1.06,1.06,1.06,1.06,1.06
22101001,151,0.632,0.752,0.752,0.752,0.752,0.752,0.752,0.752
22101001,163,0.224,0.316,0.316,0.316,0.316,0.316,0.316,0.316
22101001,166,0.27,0.316,0.316,0.316,0.316,0.316,0.316,0.316
22101001,168,0.298,0.316,0.316,0.316,0.316,0.316,0.316,0.316
22101003,5,0.248,0.264,0.264,0.264,0.264,0.264,0.264,0.264
22102000,151,1.388,1.124,1.124,1.124,1.124,1.124,1.124,1.124
22102000,166,1.548,1.124,1.124,1.124,1.124,1.124,1.124,1.124
22102000,173,0.582,0.556,0.556,0.556,0.556,0.556,0.556,0.556
22102004,5,0.968,1.06,1.06,1.06,1.06,1.06,1.06,1.06
22102004,149,0.438,0.432,0.432,0.432,0.432,0.432,0.432,0.432
22102005,0,0.03,0.15,0.15,0.15,0.15,0.15,0.15,0.15
22102005,3,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458
22102005,6,0.546,1.06,1.06,1.06,1.06,1.06,1.06,1.06
22102005,147,0.842,0.752,0.752,0.752,0.752,0.752,0.752,0.752
22102005,151,0.206,0.218,0.218,0.218,0.218,0.218,0.218,0.218
22102005,159,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44
22102005,164,0.658,0.658,0.658,0.658,0.658,0.658,0.658,0.658
22102005,166,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462
22102005,169,0.29,0.316,0.316,0.316,0.316,0.316,0.316,0.316
22102009,148,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676
22102009,149,1.368,1.368,1.368,1.368,1.368,1.368,1.368,1.368
22102009,158,0.52,0.472,0.472,0.472,0.472,0.472,0.472,0.472
22102009,162,0.716,0.676,0.676,0.676,0.676,0.676,0.676,0.676
22102009,174,0.972,1.124,1.124,1.124,1.124,1.124,1.124,1.124
22102012,164,0.79,0.676,0.676,0.676,0.676,0.676,0.676,0.676
22102013,153,0.904,1.124,1.124,1.124,1.124,1.124,1.124,1.124
22102013,155,0.348,0.316,0.316,0.316,0.316,0.316,0.316,0.316
22102013,164,0.532,0.676,0.676,0.676,0.676,0.676,0.676,0.676
22102013,170,1.116,1.124,1.124,1.124,1.124,1.124,1.124,1.124
