pluno,time,qty,d,d+1,d+2,d+3,d+4,d+5,d+6
22000014,149,0.618,-0.022573472851386556,0.20564818509482025,-1.4747371421323878,-0.31312448028756523,-1.1888871040176234,-0.016615434615421358,1.1566982807916393
22000014,169,0.492,-0.1507915947048108,0.06987102491641593,-1.618176415699152,-0.44690899570660886,-1.3287635981554264,-0.1532610243217929,1.0146578116265628
22000031,153,1.338,0.6972745193753277,0.9211388413268159,-0.74491113720668,0.410514089449288,-0.440704162987378,0.7284021784037908,1.889726737617053
22000031,165,0.6,-0.04230072464068633,0.17955518376967114,-1.5050428288181101,-0.33651657219419473,-1.2142862886332075,-0.03981558192161868,1.1277343430655928
22000049,148,1.212,0.5718686889200822,0.7981753440001065,-0.8693106157137336,0.2854125037891582,-0.5697312759456323,0.5993344969418689,1.7646928317628372
22000049,166,0.728,0.08553743662269574,0.30656737146480184,-1.3755520527662266,-0.20810302968790972,-1.081532371746223,0.09240407095557053,1.2577201988675553
22000049,174,1.07,0.4268702485121672,0.6433368163653667,-1.0336454045314714,0.13339231921497516,-0.7288987396830559,0.4443007005828989,1.6016201672249044
22001000,164,0.376,-0.26636145945169243,-0.043227251526897874,-1.7325649956772942,-0.5619508383809797,-1.4474311198407883,-0.27188905232936633,0.8993449569172263
22001000,174,0.266,-0.3776239858923594,-0.15801266788411708,-1.8521817492284136,-0.6763225485179781,-1.566484206421497,-0.38908273725329456,0.7799858314305348
22001001,159,1.23,0.588527274801431,0.81039638649719,-0.859361923102606,0.29978513696880793,-0.5557426910093851,0.6147348810308471,1.7754156083158485
22001006,151,0.978,0.33737228161868427,0.5633812792086991,-1.1097501334303779,0.04892205341623879,-0.8146310896812571,0.34837962718504456,1.5062101263947005
22001006,154,1.078,0.4400772814213184,0.6572664407212304,-1.0067439814828358,0.17990910870114124,-0.706479530339791,0.4602975724105348,1.6230603465558997
22001012,151,0.546,-0.09486970077241984,0.13283668903168466,-1.549491409802602,-0.3861150485687166,-1.2646091224692861,-0.09162535657199591,1.0820361483083725
22001038,4,1.18,0.555270923313487,0.8396921879155579,-0.792535275297032,0.26374673287754663,-0.5719953741823188,0.5601424478371485,1.7886454342524558
22001038,5,3.488,2.8658785296948976,3.132734090894928,1.575501513984669,2.6459167063720317,1.900994980210475,3.04244033604335,4.252988812052067
22001038,151,0.678,0.037205565909191704,0.26440375844901604,-1.415111058417093,-0.253176705567187,-1.1250189854551207,0.041758050187825906,1.2085958534564742
22001038,153,0.788,0.14647839403039564,0.3774014280340652,-1.2813875152780347,-0.13015519805906559,-1.0353904778447103,0.13451807358987605,1.3132043644672413
